env	term	statistic	p_value	location_shift	ci_lo	ci_hi	median_vmr_score_heritable	median_vmr_score_nonheritable	n_heritable_vmrs	n_nonheritable_vmrs	fdr	cohort	tissue	population	vmr_set	modality	run_tag
smoking	env_valueTRUE	573.5	0.267560320670024	0.105466712636435	-0.110928451767377	0.345619939881731	0.351261913864421	0.215951468595222	116	8	0.695656833742061	all_individuals	hippocampus	AA	shared	expression	nearest_gene_window_250kb
codeine	env_valueTRUE	514.5	0.611048586495089	0.0448583055483758	-0.273624244214841	0.269198716531563	0.277479672768518	0.220591445530768	116	8	0.722148329494196	all_individuals	hippocampus	AA	shared	expression	nearest_gene_window_250kb
morphine	env_valueTRUE	573.5	0.267560320670024	0.0756994096955048	-0.0532525256508647	0.243872148488161	0.286939694072871	0.219100421240547	116	8	0.695656833742061	all_individuals	hippocampus	AA	shared	expression	nearest_gene_window_250kb
cocaine	env_valueTRUE	556.5	0.349385379415325	0.0738162203555134	-0.052985216938843	0.279511665925408	0.285426260127375	0.176834796248725	116	8	0.722148329494196	all_individuals	hippocampus	AA	shared	expression	nearest_gene_window_250kb
ethanol	env_valueTRUE	407.5	0.568944613721907	-0.072829346713407	-0.415093372540774	0.129795592017042	0.207287999794774	0.377272510688118	116	8	0.722148329494196	all_individuals	hippocampus	AA	shared	expression	nearest_gene_window_250kb
nicotine	env_valueTRUE	407.5	0.568944613721907	-0.0708816442839669	-0.300540356964377	0.145332452896211	0.359226411649451	0.363580352763961	116	8	0.722148329494196	all_individuals	hippocampus	AA	shared	expression	nearest_gene_window_250kb
amphetamines	env_valueTRUE	439.5	0.807140148851851	-0.0227838588163055	-0.416122843082957	0.183257359943935	0.250447223737395	0.355690175166392	116	8	0.86271724958266	all_individuals	hippocampus	AA	shared	expression	nearest_gene_window_250kb
any_trauma_hx	env_value	290.5	0.0784625458403388	-0.222559710237798	-0.41350762298417	0.0367518032016648	0.285975868887762	0.436524918326111	116	8	0.421742434516925	all_individuals	hippocampus	AA	shared	expression	nearest_gene_window_250kb
education	env_valueless_than_hs	627.5	0.0973251771962135	0.120120095937148	-0.0191396618979585	0.297634057047001	0.233154942689366	0.131422271527626	116	8	0.421742434516925	all_individuals	hippocampus	AA	shared	expression	nearest_gene_window_250kb
education	env_valueMD	397.5	0.502015450998285	-0.0545457805958591	-0.260443062294502	0.157228774789377	0.250601938507113	0.354423398426654	116	8	0.722148329494196	all_individuals	hippocampus	AA	shared	expression	nearest_gene_window_250kb
education	env_valuemore_than_hs	385.5	0.427556172639906	-0.0821961133195029	-0.495863114659636	0.139493950925832	0.280999568901067	0.426697384812923	116	8	0.722148329494196	all_individuals	hippocampus	AA	shared	expression	nearest_gene_window_250kb
marital_status	env_valuepreviously_married	126.5	0.00060846983149919	-0.575649198447787	-0.943277510208639	-0.311927723179852	0.274052185970113	1.01397833896041	116	8	0.00791010780948947	all_individuals	hippocampus	AA	shared	expression	nearest_gene_window_250kb
marital_status	env_valuesingle	446.5	0.86271724958266	-0.025979478717566	-0.277351854291212	0.24352957880214	0.41224396341724	0.381219164893081	116	8	0.86271724958266	all_individuals	hippocampus	AA	shared	expression	nearest_gene_window_250kb
