check	observed	required	comparison	pass	cohort	region	run_id	tier	sealed_at	run_git_commit	config_environmental_sha256	vmr_set_id	citable	built_with_unaccepted_runs	cross_region_comparison_allowed	cross_region_contrast_emitted	regions_are_independent_replicates	exploratory_supplement_only
eligible_exposures	9	1	>=	TRUE	AA	caudate	env-AA-caudate-20260920-a	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
tested_vmrs	11251	500	>=	TRUE	AA	caudate	env-AA-caudate-20260920-a	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
axis_models_fitted	9	1	>=	TRUE	AA	caudate	env-AA-caudate-20260920-a	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
no_forbidden_columns	0	0	==	TRUE	AA	caudate	env-AA-caudate-20260920-a	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
fdr_families_match_eligible	9	9	==	TRUE	AA	caudate	env-AA-caudate-20260920-a	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
eligible_exposures	5	1	>=	TRUE	AA	dlpfc	env-AA-dlpfc-20260920-a	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
tested_vmrs	9251	500	>=	TRUE	AA	dlpfc	env-AA-dlpfc-20260920-a	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
axis_models_fitted	5	1	>=	TRUE	AA	dlpfc	env-AA-dlpfc-20260920-a	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
no_forbidden_columns	0	0	==	TRUE	AA	dlpfc	env-AA-dlpfc-20260920-a	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
fdr_families_match_eligible	5	5	==	TRUE	AA	dlpfc	env-AA-dlpfc-20260920-a	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
