exposure	stratum	kind	n_donors	gate_min_minor_class_n	gate_max_missing_frac	n_nonmissing	missing_frac	minor_class_n	class_counts	eligible	reason	near_gate	cohort	region	run_id	tier	sealed_at	run_git_commit	config_environmental_sha256	vmr_set_id	citable	built_with_unaccepted_runs	cross_region_comparison_allowed	cross_region_contrast_emitted	regions_are_independent_replicates	exploratory_supplement_only
smoking	all	binary	153	20	0.15	149	0.0261	72	FALSE=77, TRUE=72	TRUE	""	FALSE	AA	caudate	env-AA-caudate-20260920-a	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
nicotine	all	binary	153	20	0.15	152	0.0065	51	FALSE=101, TRUE=51	TRUE	""	FALSE	AA	caudate	env-AA-caudate-20260920-a	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
any_substance_nontobacco	all	binary	153	20	0.15	152	0.0065	26	FALSE=126, TRUE=26	TRUE	""	FALSE	AA	caudate	env-AA-caudate-20260920-a	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
antipsychotics	all	binary	153	20	0.15	118	0.2288	46	FALSE=72, TRUE=46	FALSE	missing_0.229_above_0.150;not_declared_for_this_stratum	FALSE	AA	caudate	env-AA-caudate-20260920-a	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
any_trauma_hx	all	binary	153	20	0.15	129	0.1569	26	FALSE=103, TRUE=26	FALSE	missing_0.157_above_0.150	TRUE	AA	caudate	env-AA-caudate-20260920-a	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
education	all	categorical	153	20	0.15	137	0.1046	41	less_than_hs=47, hs=49, more_than_hs=41	TRUE	""	FALSE	AA	caudate	env-AA-caudate-20260920-a	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
marital_status	all	categorical	153	20	0.15	137	0.1046	37	single=63, married=37, previously_married=37	TRUE	""	FALSE	AA	caudate	env-AA-caudate-20260920-a	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
smoking	schizophrenia	binary	65	15	0.15	65	0	19	FALSE=19, TRUE=46	TRUE	""	FALSE	AA	caudate	env-AA-caudate-20260920-a	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
nicotine	schizophrenia	binary	65	15	0.15	64	0.0154	28	FALSE=36, TRUE=28	TRUE	""	FALSE	AA	caudate	env-AA-caudate-20260920-a	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
any_substance_nontobacco	schizophrenia	binary	65	15	0.15	64	0.0154	11	FALSE=53, TRUE=11	FALSE	minor_class_11_below_15	FALSE	AA	caudate	env-AA-caudate-20260920-a	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
