exposure	stratum	kind	n_donors	gate_min_minor_class_n	gate_max_missing_frac	n_nonmissing	missing_frac	minor_class_n	class_counts	eligible	reason	near_gate	cohort	region	run_id	tier	sealed_at	run_git_commit	config_environmental_sha256	vmr_set_id	citable	built_with_unaccepted_runs	cross_region_comparison_allowed	cross_region_contrast_emitted	regions_are_independent_replicates	exploratory_supplement_only
antipsychotics	schizophrenia	binary	65	15	0.15	64	0.0154	18	FALSE=18, TRUE=46	TRUE	""	FALSE	AA	caudate	env-AA-caudate-20260920-a	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
any_trauma_hx	schizophrenia	binary	65	15	0.15	61	0.0615	22	FALSE=39, TRUE=22	TRUE	""	FALSE	AA	caudate	env-AA-caudate-20260920-a	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
education	schizophrenia	categorical	65	15	0.15	63	0.0308	12	less_than_hs=31, hs=20, more_than_hs=12	FALSE	minor_class_12_below_15	TRUE	AA	caudate	env-AA-caudate-20260920-a	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
marital_status	schizophrenia	categorical	65	15	0.15	65	0	7	single=36, married=7, previously_married=22	FALSE	minor_class_7_below_15	FALSE	AA	caudate	env-AA-caudate-20260920-a	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
fentanyl	""	retired_in_config	153						0 positives in the entire phenotype table, either cohort	FALSE	zero_variance	FALSE	AA	caudate	env-AA-caudate-20260920-a	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
lifetime_antipsych	""	retired_in_config	153						Control 76 FALSE / 0 TRUE; Schizo 0 FALSE / 68 TRUE (AA, 2026-09-10)	FALSE	perfect_proxy_for_diagnosis	FALSE	AA	caudate	env-AA-caudate-20260920-a	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
cocaine	""	retired_in_config	153						2/153 | 1/119 | 1/118	FALSE	below_eligibility_gate	FALSE	AA	caudate	env-AA-caudate-20260920-a	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
codeine	""	retired_in_config	153						4/153 | 4/119 | 4/118	FALSE	below_eligibility_gate	FALSE	AA	caudate	env-AA-caudate-20260920-a	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
morphine	""	retired_in_config	153						5/153 | 4/119 | 4/118	FALSE	below_eligibility_gate	FALSE	AA	caudate	env-AA-caudate-20260920-a	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
amphetamines	""	retired_in_config	153						7/152 | 5/117 | 5/116	FALSE	below_eligibility_gate	FALSE	AA	caudate	env-AA-caudate-20260920-a	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
ethanol	""	retired_in_config	153						13/152 | 9/119 | 9/118	FALSE	below_eligibility_gate	FALSE	AA	caudate	env-AA-caudate-20260920-a	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
opioids	""	retired_in_config	153						7/153 | 6/119 | 6/118	FALSE	below_eligibility_gate	FALSE	AA	caudate	env-AA-caudate-20260920-a	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
psychostimulants	""	retired_in_config	153						9/153 | 6/119 | 6/118	FALSE	below_eligibility_gate	FALSE	AA	caudate	env-AA-caudate-20260920-a	descriptive_only	2026-09-20T09:36:55-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-caudate-937a41979978	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
smoking	all	binary	118	20	0.15	115	0.0254	57	FALSE=57, TRUE=58	TRUE	""	FALSE	AA	dlpfc	env-AA-dlpfc-20260920-a	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
nicotine	all	binary	118	20	0.15	118	0	42	FALSE=76, TRUE=42	TRUE	""	FALSE	AA	dlpfc	env-AA-dlpfc-20260920-a	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
any_substance_nontobacco	all	binary	118	20	0.15	118	0	19	FALSE=99, TRUE=19	FALSE	minor_class_19_below_20	TRUE	AA	dlpfc	env-AA-dlpfc-20260920-a	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
antipsychotics	all	binary	118	20	0.15	87	0.2627	37	FALSE=50, TRUE=37	FALSE	missing_0.263_above_0.150;not_declared_for_this_stratum	FALSE	AA	dlpfc	env-AA-dlpfc-20260920-a	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
any_trauma_hx	all	binary	118	20	0.15	99	0.161	14	FALSE=85, TRUE=14	FALSE	minor_class_14_below_20;missing_0.161_above_0.150	FALSE	AA	dlpfc	env-AA-dlpfc-20260920-a	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
education	all	categorical	118	20	0.15	103	0.1271	30	less_than_hs=35, hs=38, more_than_hs=30	TRUE	""	FALSE	AA	dlpfc	env-AA-dlpfc-20260920-a	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
marital_status	all	categorical	118	20	0.15	104	0.1186	26	single=47, married=26, previously_married=31	TRUE	""	FALSE	AA	dlpfc	env-AA-dlpfc-20260920-a	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
smoking	schizophrenia	binary	48	15	0.15	48	0	13	FALSE=13, TRUE=35	FALSE	minor_class_13_below_15	TRUE	AA	dlpfc	env-AA-dlpfc-20260920-a	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
nicotine	schizophrenia	binary	48	15	0.15	48	0	22	FALSE=26, TRUE=22	TRUE	""	FALSE	AA	dlpfc	env-AA-dlpfc-20260920-a	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
any_substance_nontobacco	schizophrenia	binary	48	15	0.15	48	0	10	FALSE=38, TRUE=10	FALSE	minor_class_10_below_15	FALSE	AA	dlpfc	env-AA-dlpfc-20260920-a	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
antipsychotics	schizophrenia	binary	48	15	0.15	48	0	11	FALSE=11, TRUE=37	FALSE	minor_class_11_below_15	FALSE	AA	dlpfc	env-AA-dlpfc-20260920-a	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
any_trauma_hx	schizophrenia	binary	48	15	0.15	47	0.0208	13	FALSE=34, TRUE=13	FALSE	minor_class_13_below_15	TRUE	AA	dlpfc	env-AA-dlpfc-20260920-a	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
education	schizophrenia	categorical	48	15	0.15	47	0.0208	10	less_than_hs=23, hs=14, more_than_hs=10	FALSE	minor_class_10_below_15	FALSE	AA	dlpfc	env-AA-dlpfc-20260920-a	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
marital_status	schizophrenia	categorical	48	15	0.15	48	0	4	single=23, married=4, previously_married=21	FALSE	minor_class_4_below_15	FALSE	AA	dlpfc	env-AA-dlpfc-20260920-a	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
fentanyl	""	retired_in_config	118						0 positives in the entire phenotype table, either cohort	FALSE	zero_variance	FALSE	AA	dlpfc	env-AA-dlpfc-20260920-a	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
lifetime_antipsych	""	retired_in_config	118						Control 76 FALSE / 0 TRUE; Schizo 0 FALSE / 68 TRUE (AA, 2026-09-10)	FALSE	perfect_proxy_for_diagnosis	FALSE	AA	dlpfc	env-AA-dlpfc-20260920-a	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
cocaine	""	retired_in_config	118						2/153 | 1/119 | 1/118	FALSE	below_eligibility_gate	FALSE	AA	dlpfc	env-AA-dlpfc-20260920-a	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
codeine	""	retired_in_config	118						4/153 | 4/119 | 4/118	FALSE	below_eligibility_gate	FALSE	AA	dlpfc	env-AA-dlpfc-20260920-a	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
morphine	""	retired_in_config	118						5/153 | 4/119 | 4/118	FALSE	below_eligibility_gate	FALSE	AA	dlpfc	env-AA-dlpfc-20260920-a	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
amphetamines	""	retired_in_config	118						7/152 | 5/117 | 5/116	FALSE	below_eligibility_gate	FALSE	AA	dlpfc	env-AA-dlpfc-20260920-a	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
ethanol	""	retired_in_config	118						13/152 | 9/119 | 9/118	FALSE	below_eligibility_gate	FALSE	AA	dlpfc	env-AA-dlpfc-20260920-a	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
opioids	""	retired_in_config	118						7/153 | 6/119 | 6/118	FALSE	below_eligibility_gate	FALSE	AA	dlpfc	env-AA-dlpfc-20260920-a	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
psychostimulants	""	retired_in_config	118						9/153 | 6/119 | 6/118	FALSE	below_eligibility_gate	FALSE	AA	dlpfc	env-AA-dlpfc-20260920-a	claim_eligible	2026-09-20T09:19:20-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-dlpfc-856067dfe289	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
smoking	all	binary	117	20	0.15	114	0.0256	56	FALSE=56, TRUE=58	TRUE	""	FALSE	AA	hippocampus	env-AA-hippocampus-20260920-a	claim_eligible	2026-09-20T09:22:23-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-hippocampus-2d907b892215	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
nicotine	all	binary	117	20	0.15	117	0	42	FALSE=75, TRUE=42	TRUE	""	FALSE	AA	hippocampus	env-AA-hippocampus-20260920-a	claim_eligible	2026-09-20T09:22:23-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-hippocampus-2d907b892215	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
any_substance_nontobacco	all	binary	117	20	0.15	117	0	19	FALSE=98, TRUE=19	FALSE	minor_class_19_below_20	TRUE	AA	hippocampus	env-AA-hippocampus-20260920-a	claim_eligible	2026-09-20T09:22:23-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-hippocampus-2d907b892215	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
antipsychotics	all	binary	117	20	0.15	86	0.265	37	FALSE=49, TRUE=37	FALSE	missing_0.265_above_0.150;not_declared_for_this_stratum	FALSE	AA	hippocampus	env-AA-hippocampus-20260920-a	claim_eligible	2026-09-20T09:22:23-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-hippocampus-2d907b892215	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
any_trauma_hx	all	binary	117	20	0.15	99	0.1538	14	FALSE=85, TRUE=14	FALSE	minor_class_14_below_20;missing_0.154_above_0.150	FALSE	AA	hippocampus	env-AA-hippocampus-20260920-a	claim_eligible	2026-09-20T09:22:23-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-hippocampus-2d907b892215	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
education	all	categorical	117	20	0.15	102	0.1282	31	less_than_hs=35, hs=36, more_than_hs=31	TRUE	""	FALSE	AA	hippocampus	env-AA-hippocampus-20260920-a	claim_eligible	2026-09-20T09:22:23-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-hippocampus-2d907b892215	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
marital_status	all	categorical	117	20	0.15	103	0.1197	27	single=46, married=27, previously_married=30	TRUE	""	FALSE	AA	hippocampus	env-AA-hippocampus-20260920-a	claim_eligible	2026-09-20T09:22:23-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-hippocampus-2d907b892215	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
smoking	schizophrenia	binary	48	15	0.15	48	0	13	FALSE=13, TRUE=35	FALSE	minor_class_13_below_15	TRUE	AA	hippocampus	env-AA-hippocampus-20260920-a	claim_eligible	2026-09-20T09:22:23-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-hippocampus-2d907b892215	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
nicotine	schizophrenia	binary	48	15	0.15	48	0	22	FALSE=26, TRUE=22	TRUE	""	FALSE	AA	hippocampus	env-AA-hippocampus-20260920-a	claim_eligible	2026-09-20T09:22:23-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-hippocampus-2d907b892215	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
any_substance_nontobacco	schizophrenia	binary	48	15	0.15	48	0	10	FALSE=38, TRUE=10	FALSE	minor_class_10_below_15	FALSE	AA	hippocampus	env-AA-hippocampus-20260920-a	claim_eligible	2026-09-20T09:22:23-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-hippocampus-2d907b892215	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
antipsychotics	schizophrenia	binary	48	15	0.15	48	0	11	FALSE=11, TRUE=37	FALSE	minor_class_11_below_15	FALSE	AA	hippocampus	env-AA-hippocampus-20260920-a	claim_eligible	2026-09-20T09:22:23-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-hippocampus-2d907b892215	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
any_trauma_hx	schizophrenia	binary	48	15	0.15	47	0.0208	13	FALSE=34, TRUE=13	FALSE	minor_class_13_below_15	TRUE	AA	hippocampus	env-AA-hippocampus-20260920-a	claim_eligible	2026-09-20T09:22:23-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-hippocampus-2d907b892215	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
education	schizophrenia	categorical	48	15	0.15	47	0.0208	10	less_than_hs=23, hs=14, more_than_hs=10	FALSE	minor_class_10_below_15	FALSE	AA	hippocampus	env-AA-hippocampus-20260920-a	claim_eligible	2026-09-20T09:22:23-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-hippocampus-2d907b892215	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
marital_status	schizophrenia	categorical	48	15	0.15	48	0	4	single=23, married=4, previously_married=21	FALSE	minor_class_4_below_15	FALSE	AA	hippocampus	env-AA-hippocampus-20260920-a	claim_eligible	2026-09-20T09:22:23-0500	abb0c6789e5cb66ad33042fe8f1735de3c358b02	6f7ab73f363b630f00ec0484f8eef4a277011964763cdf89fd98172e16872024	vmrset-AA-hippocampus-2d907b892215	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
