env	term	statistic	p_value	location_shift	ci_lo	ci_hi	median_vmr_score_heritable	median_vmr_score_nonheritable	n_heritable_vmrs	n_nonheritable_vmrs	fdr	cohort	tissue	population	modality	run_tag
smoking	env_valueTRUE	273	0.84607941881036	0.0306874559476578	-0.118535625741803	0.185931078605516	0.265523174639112	0.319083184167199	31	17	0.893176690195388	BA_only	dlpfc	AA	psi	window_250kb
codeine	env_valueTRUE	369	0.0235267587835686	0.149863816024315	0.0111023162455503	0.276961848369986	0.276843760936866	0.0858332440413647	31	17	0.129397173309627	BA_only	dlpfc	AA	psi	window_250kb
morphine	env_valueTRUE	370	0.0222343830174971	0.112504185255864	0.0139258308432567	0.307390100349384	0.208693295336825	0.111412698498131	31	17	0.129397173309627	BA_only	dlpfc	AA	psi	window_250kb
cocaine	env_valueTRUE	266	0.426686968409249	0.0315839350983988	-0.033606256991047	0.107822358001352	0.117256179213026	0.111059657170491	29	16	0.80200647689365	BA_only	dlpfc	AA	psi	window_250kb
ethanol	env_valueTRUE	225	0.412426339178595	-0.0718162946644257	-0.283121167931067	0.0932100401042237	0.151552795051414	0.246968583286292	31	17	0.80200647689365	BA_only	dlpfc	AA	psi	window_250kb
nicotine	env_valueTRUE	245	0.697833703681863	-0.0455236827756415	-0.189403711902149	0.108505675631935	0.245319753247047	0.361127516869256	31	17	0.893176690195388	BA_only	dlpfc	AA	psi	window_250kb
amphetamines	env_valueTRUE	230	0.893176690195388	0.0143366317433479	-0.0986742278378667	0.130177048428929	0.244584636177175	0.178845030240257	28	16	0.893176690195388	BA_only	dlpfc	AA	psi	window_250kb
education	env_valueless_than_hs	230	0.694226918039252	-0.0370260617116836	-0.210228022549623	0.128542240940568	0.312386520240191	0.32645471850273	31	16	0.893176690195388	BA_only	dlpfc	AA	psi	window_250kb
education	env_valuemore_than_hs	314	0.14117974587812	0.100344963081712	-0.0734009131112469	0.339113910278749	0.30870813783423	0.30133019786689	31	16	0.517659068219772	BA_only	dlpfc	AA	psi	window_250kb
marital_status	env_valuepreviously_married	227	0.437458078305627	-0.0885360323257084	-0.379798514309627	0.0946492677131861	0.33778528387483	0.534346372139795	31	17	0.80200647689365	BA_only	dlpfc	AA	psi	window_250kb
marital_status	env_valuesingle	252	0.812453784612472	-0.0215630471118078	-0.207572697090488	0.1806100609976	0.272597001767108	0.381120309177387	31	17	0.893176690195388	BA_only	dlpfc	AA	psi	window_250kb
