Tissue	h2_Category	OR	PValue	FDR	Annotation
Caudate	Heritable	1.244933108434592	1.1745185869889425e-06	1.5660247826519234e-06	hg38_genes_promoters
Caudate	Heritable	1.518202161166233	1.5379596251128628e-25	6.151838500451451e-25	hg38_cpg_shores
Caudate	Heritable	1.280970625798212	2.409668448860126e-09	4.13086019804593e-09	hg38_genes_1to5kb
Caudate	Heritable	1.3906459449660038	2.59810964481848e-16	7.794328934455441e-16	hg38_genes_introns
Caudate	Heritable	1.4304927165479187	1.6350628724525244e-11	3.270125744905049e-11	hg38_cpg_islands
Caudate	Heritable	1.2143499196674397	0.005690888464148213	0.006208241960888959	hg38_cpg_shelves
Caudate	Heritable	1.6115909724157147	3.4824819849417336e-09	5.2237229774126004e-09	hg38_genes_5UTRs
Caudate	Heritable	1.3889522139412538	6.124711944541595e-15	1.4699308666899827e-14	hg38_genes_exons
Caudate	Heritable	1.2270149510225126	0.00879894891460544	0.00879894891460544	hg38_genes_3UTRs
Caudate	Heritable	0.5782578844790929	2.0695892550338758e-45	2.483507106040651e-44	hg38_cpg_inter
Caudate	Heritable	1.2579716227969588	0.000582591511959544	0.0006991098143514528	hg38_enhancers_fantom
Caudate	Heritable	0.567092978877862	1.061099750528364e-34	6.366598503170184e-34	hg38_genes_intergenic
Caudate	Non-heritable	1.130601055120975	0.005549244877873234	0.009512991219211259	hg38_genes_promoters
Caudate	Non-heritable	0.8279976919059671	1.4193783392351688e-06	4.258135017705507e-06	hg38_cpg_shores
Caudate	Non-heritable	1.0330134127639234	0.4281865502465929	0.5138238602959114	hg38_genes_1to5kb
Caudate	Non-heritable	0.7425943237720131	1.2775947116456982e-13	7.66556826987419e-13	hg38_genes_introns
Caudate	Non-heritable	0.8826958778653696	0.0148300160010293	0.02224502400154395	hg38_cpg_islands
Caudate	Non-heritable	0.8021731018156799	0.001178886450868687	0.002357772901737374	hg38_cpg_shelves
Caudate	Non-heritable	0.839085795116559	0.02166992037719344	0.02889322716959125	hg38_genes_5UTRs
Caudate	Non-heritable	0.9750303966405336	0.5380177858326594	0.5869284936356284	hg38_genes_exons
Caudate	Non-heritable	1.003991006016433	0.9701156710754941	0.9701156710754941	hg38_genes_3UTRs
Caudate	Non-heritable	1.3217599437473662	1.930650533550467e-13	7.722602134201868e-13	hg38_cpg_inter
Caudate	Non-heritable	0.8068353101366537	0.0008617252193968378	0.0020681405265524106	hg38_enhancers_fantom
Caudate	Non-heritable	1.4931505662371871	1.1328290764963917e-17	1.3593948917956702e-16	hg38_genes_intergenic
Caudate	Low prediction	0.5729855617563258	4.424898182711789e-23	5.309877819254147e-22	hg38_genes_promoters
Caudate	Low prediction	0.6869783367478565	4.311894187857138e-13	1.034854605085713e-12	hg38_cpg_shores
Caudate	Low prediction	0.6252470970230591	9.441848903994941e-19	2.8325546711984824e-18	hg38_genes_1to5kb
Caudate	Low prediction	0.9483811797705244	0.3329974428607778	0.39959693143293334	hg38_genes_introns
Caudate	Low prediction	0.6983729057279217	4.496931159771527e-08	8.993862319543054e-08	hg38_cpg_islands
Caudate	Low prediction	1.0694266138096111	0.4904908693276385	0.5350809483574238	hg38_cpg_shelves
Caudate	Low prediction	0.6536100381533637	8.573114144238185e-06	1.2859671216357279e-05	hg38_genes_5UTRs
Caudate	Low prediction	0.6073006924242388	1.0827439860468693e-20	6.496463916281217e-20	hg38_genes_exons
Caudate	Low prediction	0.7187133278472199	0.0004834001781499587	0.0006445335708666116	hg38_genes_3UTRs
Caudate	Low prediction	1.5718878878161229	8.466341765232085e-19	2.8325546711984824e-18	hg38_cpg_inter
Caudate	Low prediction	0.9950558493596136	0.9652363013083165	0.9652363013083165	hg38_enhancers_fantom
