annotation	annot_col	tissue	df_diff	deviance	p_lrt	n_vmrs	n_annotated	fdr
Promoter	hg38_genes_promoters	Caudate	3	159.742906773587	2.08263428950122e-34	7194	1745	1.24958057370073e-33
Enhancer	hg38_enhancers_fantom	Caudate	3	154.125230283101	3.39468351948206e-33	7194	625	1.35787340779283e-32
1–5 kb upstream	hg38_genes_1to5kb	Caudate	3	95.3549434629731	1.54893686362284e-20	7194	2160	4.64681059086853e-20
Intergenic	hg38_genes_intergenic	Caudate	3	163.085689369863	3.955299874382e-35	7194	1676	4.7463598492584e-34
Promoter	hg38_genes_promoters	DLPFC	3	2.75168200600274	0.431515804688556	4954	1181	0.470744514205697
Enhancer	hg38_enhancers_fantom	DLPFC	3	21.8952626591049	6.85875926467635e-05	4954	418	9.1450123529018e-05
1–5 kb upstream	hg38_genes_1to5kb	DLPFC	3	0.662494108747524	0.881988203793085	4954	1577	0.881988203793085
Intergenic	hg38_genes_intergenic	DLPFC	3	25.6356967657339	1.13680826345994e-05	4954	820	1.70521239518991e-05
Promoter	hg38_genes_promoters	Hippocampus	3	26.224947475881	8.55707174091442e-06	4965	1117	1.46692658415676e-05
Enhancer	hg38_enhancers_fantom	Hippocampus	3	40.5537922171484	8.1311161491246e-09	4965	415	1.9514678757899e-08
1–5 kb upstream	hg38_genes_1to5kb	Hippocampus	3	18.2561886242411	0.00038944814368266	4965	1502	0.000467337772419193
Intergenic	hg38_genes_intergenic	Hippocampus	3	31.6340912952219	6.25017372917134e-07	4965	1092	1.25003474583427e-06
