h2_quintile	n	n_annotated	frac	h2_median	h2_lo	h2_hi	ci_lo	ci_hi	annotation	annot_col	tissue
Q1	1439	419	0.291174426685198	0.0501852946119992	0.0059015583517739	0.0641284427098301	0.268275760614509	0.31518505808748	Promoter	hg38_genes_promoters	Caudate
Q2	1439	401	0.27866574009729	0.0754056696319239	0.0641502708995236	0.0862782754455245	0.256106140276134	0.302403912158421	Promoter	hg38_genes_promoters	Caudate
Q3	1438	375	0.260778859527121	0.0981135190695719	0.0862875259212056	0.129352814313377	0.238735560790607	0.284096858966052	Promoter	hg38_genes_promoters	Caudate
Q4	1439	373	0.259207783182766	0.197574792504497	0.129393380160126	0.376576543853896	0.237220185001768	0.28247756435011	Promoter	hg38_genes_promoters	Caudate
Q5	1439	177	0.123002084781098	0.620730347842876	0.376611443202526	0.927094064327171	0.106999491016897	0.141012136756245	Promoter	hg38_genes_promoters	Caudate
Q1	1439	155	0.107713690062543	0.0501852946119992	0.0059015583517739	0.0641284427098301	0.0926936153805111	0.124822631399099	Enhancer	hg38_enhancers_fantom	Caudate
Q2	1439	150	0.104239054899236	0.0754056696319239	0.0641502708995236	0.0862782754455245	0.08945553640685	0.121129941965139	Enhancer	hg38_enhancers_fantom	Caudate
Q3	1438	152	0.105702364394993	0.0981135190695719	0.0862875259212056	0.129352814313377	0.0908137384246862	0.122692023209109	Enhancer	hg38_enhancers_fantom	Caudate
Q4	1439	122	0.0847810979847116	0.197574792504497	0.129393380160126	0.376576543853896	0.0714288113960249	0.100344363893287	Enhancer	hg38_enhancers_fantom	Caudate
Q5	1439	46	0.0319666435024322	0.620730347842876	0.376611443202526	0.927094064327171	0.0239666890589872	0.0424588064344886	Enhancer	hg38_enhancers_fantom	Caudate
Q1	1439	507	0.352328005559416	0.0501852946119992	0.0059015583517739	0.0641284427098301	0.32806644140106	0.377375901275055	1–5 kb upstream	hg38_genes_1to5kb	Caudate
Q2	1439	463	0.321751216122307	0.0754056696319239	0.0641502708995236	0.0862782754455245	0.298112223631528	0.346339357057524	1–5 kb upstream	hg38_genes_1to5kb	Caudate
Q3	1438	459	0.319193324061196	0.0981135190695719	0.0862875259212056	0.129352814313377	0.295603611638072	0.343746473061728	1–5 kb upstream	hg38_genes_1to5kb	Caudate
Q4	1439	434	0.301598332175122	0.197574792504497	0.129393380160126	0.376576543853896	0.278433479098991	0.32581964482586	1–5 kb upstream	hg38_genes_1to5kb	Caudate
Q5	1439	297	0.206393328700486	0.620730347842876	0.376611443202526	0.927094064327171	0.186263006699634	0.228087062856407	1–5 kb upstream	hg38_genes_1to5kb	Caudate
Q1	1439	212	0.147324530924253	0.0501852946119992	0.0059015583517739	0.0641284427098301	0.129927336892199	0.166599669734288	Intergenic	hg38_genes_intergenic	Caudate
