cohort	tissue	population	feature_type	bin_type	h2_bin	n_vmrs	median_distance	q25_distance	q75_distance	prop_within_10kb	prop_within_100kb
BA_only	caudate	AA	gene	h2_quintile	Q1	2335	0	0	0	0.964882226980728	0.999571734475375
BA_only	caudate	AA	gene	h2_quintile	Q2	2335	0	0	0	0.964453961456103	0.999143468950749
BA_only	caudate	AA	gene	h2_quintile	Q3	2334	0	0	0	0.967437874892888	0.999571550985433
BA_only	caudate	AA	gene	h2_quintile	Q4	2335	0	0	0	0.951177730192719	0.998715203426124
BA_only	caudate	AA	gene	h2_quintile	Q5	2335	0	0	615.5	0.862955032119914	0.986723768736617
BA_only	caudate	AA	gene	h2_tertile	T1	3892	0	0	0	0.964285714285714	0.999229188078109
BA_only	caudate	AA	gene	h2_tertile	T2	3891	0	0	0	0.96556155230018	0.999485993317913
BA_only	caudate	AA	gene	h2_tertile	T3	3891	0	0	0	0.89668465690054	0.991518889745567
BA_only	caudate	AA	psi	h2_quintile	Q1	2335	0	0	7861.5	0.776017130620985	0.982012847965739
BA_only	caudate	AA	psi	h2_quintile	Q2	2335	27	0	9118.5	0.762740899357602	0.978586723768737
BA_only	caudate	AA	psi	h2_quintile	Q3	2334	12	0	8160.5	0.770779777206513	0.986289631533847
BA_only	caudate	AA	psi	h2_quintile	Q4	2335	335	0	10502	0.74389721627409	0.980299785867238
BA_only	caudate	AA	psi	h2_quintile	Q5	2335	3189	0	28120.5	0.599571734475375	0.913062098501071
BA_only	caudate	AA	psi	h2_tertile	T1	3892	0	0	8064.5	0.772353545734841	0.979958890030833
BA_only	caudate	AA	psi	h2_tertile	T2	3891	45	0	9083	0.762271909534824	0.98355178617322
BA_only	caudate	AA	psi	h2_tertile	T3	3891	1238	0	20543.5	0.65715754304806	0.940632228218967
