Tissue	h2_Category	OR	PValue	FDR	Direction
Caudate	Heritable	1.0793385190545104	0.6952070836829918	0.6952070836829918	Up
Caudate	Heritable	1.1829218275777214	0.36560277112017714	0.5484041566802658	Down
Caudate	Heritable	1.1342992882756613	0.3513072927130778	0.5484041566802658	All
Caudate	Non-heritable	0.9211257149142102	0.6986936229640255	0.6986936229640255	Up
Caudate	Non-heritable	0.9125874125874126	0.6553377328317413	0.6986936229640255	Down
Caudate	Non-heritable	0.916472634029886	0.5540362314117638	0.6986936229640255	All
Caudate	Low prediction	1.0122670807453416	0.8966752602223134	0.8966752602223134	Up
Caudate	Low prediction	0.8685875958603231	0.6336126278085246	0.8966752602223134	Down
Caudate	Low prediction	0.9333068137233532	0.7910496553870388	0.8966752602223134	All
DLPFC	Heritable	10.94977623073098	2.919331152272201e-05	4.3789967284083015e-05	Up
DLPFC	Heritable	4.524494475713988	0.00969126242203086	0.00969126242203086	Down
DLPFC	Heritable	6.984833941255519	5.518270289577215e-07	1.6554810868731644e-06	All
DLPFC	Non-heritable	0.0646530612244898	0.0001236815428555544	0.0001855223142833316	Up
DLPFC	Non-heritable	0.19859294331648075	0.016091349727765502	0.016091349727765502	Down
DLPFC	Non-heritable	0.11852197951952653	3.249282773665908e-06	9.747848320997724e-06	All
DLPFC	Low prediction	0.3814794520547945	0.5068498673485036	0.7602748010227554	Up
DLPFC	Low prediction	0.5833333333333334	1.0	1.0	Down
DLPFC	Low prediction	0.4697727332857105	0.4314035220748387	0.7602748010227554	All
Hippocampus	Heritable	27.0975303474257	1.2198643813036453e-07	2.961151098577005e-07	Up
Hippocampus	Heritable	2.7700084245998315	0.08031653355127188	0.08031653355127188	Down
Hippocampus	Heritable	7.564980054587445	1.97410073238467e-07	2.961151098577005e-07	All
Hippocampus	Non-heritable	0.0	8.156872860663847e-07	1.2235309290995773e-06	Up
Hippocampus	Non-heritable	0.2433392539964476	0.06541921199923142	0.06541921199923142	Down
Hippocampus	Non-heritable	0.07593816067653276	2.450890604541027e-07	7.352671813623081e-07	All
Hippocampus	Low prediction	0.31333531333531334	0.3561428804853168	0.6939240219625956	Up
Hippocampus	Low prediction	1.1539335416074978	0.6939240219625956	0.6939240219625956	Down
Hippocampus	Low prediction	0.6012630662020906	0.6240548819152963	0.6939240219625956	All
