annotation	source_module	adjustment	outcome	n_regions_tested	regions_q_below_alpha	n_noncaudate_q_below_alpha	noncaudate_signs_agree	caudate_q	caudate_estimate	dlpfc_estimate	dlpfc_q	hippocampus_estimate	hippocampus_q	role	regions_are_independent_replicates	pooled_p_emitted
h3k27me3_any	04_repeat_repressive_architecture	technical	debiased_sq_beta	3	hippocampus	1		0.926948605120153	0.019272153648072	0.121369766637853	0.788151972026169	0.463194238966353	0.0128370502696761	descriptive	FALSE	FALSE
h3k27me3_any	04_repeat_repressive_architecture	technical	signed_beta_age	3	caudate,dlpfc,hippocampus	2	TRUE	3.85235537407935e-07	0.00394856458324198	0.00171150813866521	0.000806285935576007	0.00195650842761372	0.00341090896326052	descriptive	FALSE	FALSE
h3k27me3_any	04_repeat_repressive_architecture	technical_score	debiased_sq_beta	3	hippocampus	1		0.948314318363272	0.0228055947509837	0.132794186147631	0.732977715855497	0.46247695177931	0.0124738117598183	descriptive	FALSE	FALSE
h3k27me3_any	04_repeat_repressive_architecture	technical_score	signed_beta_age	3	caudate,dlpfc,hippocampus	2	TRUE	5.77996528562717e-07	0.00394220641554972	0.00168978176588733	0.000961215637705983	0.00195788013874518	0.00346240388896747	descriptive	FALSE	FALSE
bivalent_any	04_repeat_repressive_architecture	technical	debiased_sq_beta	3	hippocampus	1		0.840576890344447	0.108214441963475	-0.25726728169454	0.798044084237042	0.725810518223771	0.0301510090995403	descriptive	FALSE	FALSE
bivalent_any	04_repeat_repressive_architecture	technical	signed_beta_age	3	caudate,hippocampus	1		0.0110023111485099	0.00321131048703482	0.00133400699661998	0.109950487200568	0.00185545221157984	0.0443719486791503	descriptive	FALSE	FALSE
bivalent_any	04_repeat_repressive_architecture	technical_score	debiased_sq_beta	3	hippocampus	1		0.873286045241201	0.099217371653466	-0.242139395559701	0.818327226968897	0.721053934108617	0.0365354138707183	descriptive	FALSE	FALSE
bivalent_any	04_repeat_repressive_architecture	technical_score	signed_beta_age	3	caudate,hippocampus	1		0.0109124871572801	0.00322805870750425	0.00130455774107287	0.1360936238364	0.00186492474096241	0.0447617491076436	descriptive	FALSE	FALSE
h3k9me3_any	04_repeat_repressive_architecture	technical	debiased_sq_beta	3	""	0		0.876915233067128	-0.0350177773882015	-0.0553602941815012	0.858940816785795	0.40097216996652	0.105914971158725	descriptive	FALSE	FALSE
h3k9me3_any	04_repeat_repressive_architecture	technical	signed_beta_age	3	caudate,dlpfc,hippocampus	2	TRUE	0.00026891102745048	0.00157260009359057	0.00163608905270526	0.00820679196638248	0.00122184826821787	0.0324171315397881	descriptive	FALSE	FALSE
h3k9me3_any	04_repeat_repressive_architecture	technical_score	debiased_sq_beta	3	""	0		0.948314318363272	0.00923807344130942	0.0252597783338	0.935074086297056	0.427118901916112	0.0712589855600518	descriptive	FALSE	FALSE
h3k9me3_any	04_repeat_repressive_architecture	technical_score	signed_beta_age	3	caudate,dlpfc,hippocampus	2	TRUE	0.000495305954484769	0.00149584499376847	0.00148778729220254	0.0229805627630782	0.00118528837254932	0.0324103103567208	descriptive	FALSE	FALSE
quiescent_any	04_repeat_repressive_architecture	technical	debiased_sq_beta	3	dlpfc	1		0.0996407654552528	-0.241288335545366	-0.589563795211036	0.0130137802483204	-0.075000591199408	0.633987106464694	descriptive	FALSE	FALSE
