spec	region_a	region_b	estimate_a	estimate_b	difference	se	se_bootstrap	se_jackknife	ci_lower	ci_upper	ci_excludes_zero	se_difference_if_independent	bootstrap_cor_between_regions	n_bootstrap	n_bootstrap_failed	n_chromosome_blocks	n_union_donors	n_shared_donors	outcome	outcome_scale	inference
primary	dlpfc	hippocampus	-0.327790395522146	-0.097682268367693	-0.230108127154453	0.146036955418843	0.117025737200479	0.0873599976000996	-0.516335300187266	0.05611904587836	FALSE	0.132039514646241	0.284261590643777	1000	0	22	120	115	debiased_sq_beta	relative_to_mean	paired_donor_bootstrap_var_plus_joint_chromosome_jackknife_var
cell_music	dlpfc	hippocampus	-0.385678270723404	-0.139322779605877	-0.246355491117527	0.153340264766155	0.133417346828303	0.0755847098549085	-0.546896887439026	0.0541859052039719	FALSE	0.147616543048186	0.227322700872606	1000	0	22	120	115	debiased_sq_beta	relative_to_mean	paired_donor_bootstrap_var_plus_joint_chromosome_jackknife_var
