disease	tissue	ancestry	annotation	Coefficient_z-score
pd	caudate	EA	ANNOT_Q1L2_1	0.7682133790205415
pd	caudate	EA	ANNOT_Q2L2_1	-0.2924313354624152
pd	caudate	EA	ANNOT_Q3L2_1	-0.0661776694940469
pd	caudate	EA	ANNOT_Q4L2_1	0.4525804852826387
pd	caudate	EA	ANNOT_Q5L2_1	-1.4380487685394965
pd	hippocampus	EA	ANNOT_Q1L2_1	0.4360955582830217
pd	hippocampus	EA	ANNOT_Q2L2_1	0.7625933999311516
pd	hippocampus	EA	ANNOT_Q3L2_1	0.6096463590237072
pd	hippocampus	EA	ANNOT_Q4L2_1	-0.1230909647453765
pd	hippocampus	EA	ANNOT_Q5L2_1	-0.1970045399556731
pd	dlpfc	EA	ANNOT_Q1L2_1	-0.091693855190289
pd	dlpfc	EA	ANNOT_Q2L2_1	1.4293780935677878
pd	dlpfc	EA	ANNOT_Q3L2_1	1.0277273152541917
pd	dlpfc	EA	ANNOT_Q4L2_1	0.5403580480303136
pd	dlpfc	EA	ANNOT_Q5L2_1	-1.3571160453683415
scz	caudate	EA	ANNOT_Q1L2_1	0.3187353741789587
scz	caudate	EA	ANNOT_Q2L2_1	0.1202909999606424
scz	caudate	EA	ANNOT_Q3L2_1	-0.1868894084273128
scz	caudate	EA	ANNOT_Q4L2_1	2.1530359283641087
scz	caudate	EA	ANNOT_Q5L2_1	1.0655119117420937
scz	hippocampus	EA	ANNOT_Q1L2_1	0.4064810559130739
scz	hippocampus	EA	ANNOT_Q2L2_1	-0.352340208589751
scz	hippocampus	EA	ANNOT_Q3L2_1	-0.5859743989184084
scz	hippocampus	EA	ANNOT_Q4L2_1	0.0303769098702508
scz	hippocampus	EA	ANNOT_Q5L2_1	-0.0873015286427768
scz	dlpfc	EA	ANNOT_Q1L2_1	-0.0468045057179098
scz	dlpfc	EA	ANNOT_Q2L2_1	0.8959438660782667
scz	dlpfc	EA	ANNOT_Q3L2_1	-0.5740081341254835
scz	dlpfc	EA	ANNOT_Q4L2_1	-0.3594202712366863
scz	dlpfc	EA	ANNOT_Q5L2_1	0.3405945441640102
ad	caudate	EA	ANNOT_Q1L2_1	1.000739807506629
ad	caudate	EA	ANNOT_Q2L2_1	0.3358585918255756
ad	caudate	EA	ANNOT_Q3L2_1	0.1422910897622168
ad	caudate	EA	ANNOT_Q4L2_1	0.8029273210806619
ad	caudate	EA	ANNOT_Q5L2_1	-0.3988787767618125
ad	hippocampus	EA	ANNOT_Q1L2_1	0.8181175371398569
ad	hippocampus	EA	ANNOT_Q2L2_1	-1.7292814079580223
ad	hippocampus	EA	ANNOT_Q3L2_1	0.66575747787157
ad	hippocampus	EA	ANNOT_Q4L2_1	1.0976767920968038
ad	hippocampus	EA	ANNOT_Q5L2_1	-0.4333508008155332
ad	dlpfc	EA	ANNOT_Q1L2_1	0.2868505742299105
ad	dlpfc	EA	ANNOT_Q2L2_1	-0.872759931107444
ad	dlpfc	EA	ANNOT_Q3L2_1	1.3071654618857087
ad	dlpfc	EA	ANNOT_Q4L2_1	-0.1556135551749753
ad	dlpfc	EA	ANNOT_Q5L2_1	-1.1843146764415216
smoking	caudate	EA	ANNOT_Q1L2_1	0.8330226278581387
smoking	caudate	EA	ANNOT_Q2L2_1	-1.214555734730685
smoking	caudate	EA	ANNOT_Q3L2_1	-1.1078259778693345
smoking	caudate	EA	ANNOT_Q4L2_1	1.4609954343178544
smoking	caudate	EA	ANNOT_Q5L2_1	-0.6145358838834842
smoking	hippocampus	EA	ANNOT_Q1L2_1	0.7233983769979421
smoking	hippocampus	EA	ANNOT_Q2L2_1	1.3262941440643172
smoking	hippocampus	EA	ANNOT_Q3L2_1	0.3111042208261508
smoking	hippocampus	EA	ANNOT_Q4L2_1	0.9563462193615248
smoking	hippocampus	EA	ANNOT_Q5L2_1	-2.463800454503392
smoking	dlpfc	EA	ANNOT_Q1L2_1	1.6233844222288776
smoking	dlpfc	EA	ANNOT_Q2L2_1	1.3889536312504782
smoking	dlpfc	EA	ANNOT_Q3L2_1	-0.8192414329974121
smoking	dlpfc	EA	ANNOT_Q4L2_1	-0.0854406091970986
smoking	dlpfc	EA	ANNOT_Q5L2_1	-0.3177067443009111
