disease	tissue	ancestry	annotation	Coefficient_z-score	p_value	FDR_q
pd	caudate	EA	ANNOT_Q1L2_1	0.7682133790205415	0.4423604262644101	0.9677834209225183
pd	caudate	EA	ANNOT_Q2L2_1	-0.2924313354624152	0.7699568525448202	0.9677834209225183
pd	caudate	EA	ANNOT_Q3L2_1	-0.0661776694940469	0.9472363749567514	0.9757664596103683
pd	caudate	EA	ANNOT_Q4L2_1	0.4525804852826387	0.6508508535012902	0.9677834209225183
pd	caudate	EA	ANNOT_Q5L2_1	-1.4380487685394965	0.15042021727041832	0.9677834209225183
pd	hippocampus	EA	ANNOT_Q1L2_1	0.4360955582830217	0.6627673996777028	0.9677834209225183
pd	hippocampus	EA	ANNOT_Q2L2_1	0.7625933999311516	0.4457059219551378	0.9677834209225183
pd	hippocampus	EA	ANNOT_Q3L2_1	0.6096463590237072	0.5420960949963092	0.9677834209225183
pd	hippocampus	EA	ANNOT_Q4L2_1	-0.1230909647453765	0.902035065959568	0.9757664596103683
pd	hippocampus	EA	ANNOT_Q5L2_1	-0.1970045399556731	0.843823985035892	0.9757664596103683
pd	dlpfc	EA	ANNOT_Q1L2_1	-0.091693855190289	0.9269412796728149	0.9757664596103683
pd	dlpfc	EA	ANNOT_Q2L2_1	1.4293780935677878	0.15289559126072771	0.9677834209225183
pd	dlpfc	EA	ANNOT_Q3L2_1	1.0277273152541917	0.30407811510194094	0.9677834209225183
pd	dlpfc	EA	ANNOT_Q4L2_1	0.5403580480303136	0.58895013349343	0.9677834209225183
pd	dlpfc	EA	ANNOT_Q5L2_1	-1.3571160453683415	0.1747443409430227	0.9677834209225183
scz	caudate	EA	ANNOT_Q1L2_1	0.3187353741789587	0.7499271878807088	0.9677834209225183
scz	caudate	EA	ANNOT_Q2L2_1	0.1202909999606424	0.9042526333348075	0.9757664596103683
scz	caudate	EA	ANNOT_Q3L2_1	-0.1868894084273128	0.8517473437393763	0.9757664596103683
scz	caudate	EA	ANNOT_Q4L2_1	2.1530359283641087	0.031315854994278025	0.9394756498283408
scz	caudate	EA	ANNOT_Q5L2_1	1.0655119117420937	0.2866443380889079	0.9677834209225183
scz	hippocampus	EA	ANNOT_Q1L2_1	0.4064810559130739	0.6843891735883307	0.9677834209225183
scz	hippocampus	EA	ANNOT_Q2L2_1	-0.352340208589751	0.7245831369496856	0.9677834209225183
scz	hippocampus	EA	ANNOT_Q3L2_1	-0.5859743989184084	0.5578927190287541	0.9677834209225183
scz	hippocampus	EA	ANNOT_Q4L2_1	0.0303769098702508	0.9757664596103683	0.9757664596103683
scz	hippocampus	EA	ANNOT_Q5L2_1	-0.0873015286427768	0.9304318389805823	0.9757664596103683
scz	dlpfc	EA	ANNOT_Q1L2_1	-0.0468045057179098	0.9626690379275118	0.9757664596103683
scz	dlpfc	EA	ANNOT_Q2L2_1	0.8959438660782667	0.3702827442978145	0.9677834209225183
scz	dlpfc	EA	ANNOT_Q3L2_1	-0.5740081341254835	0.5659622969356142	0.9677834209225183
scz	dlpfc	EA	ANNOT_Q4L2_1	-0.3594202712366863	0.7192807122482903	0.9677834209225183
scz	dlpfc	EA	ANNOT_Q5L2_1	0.3405945441640102	0.7334088372608616	0.9677834209225183
ad	caudate	EA	ANNOT_Q1L2_1	1.000739807506629	0.3169526167803771	0.9677834209225183
ad	caudate	EA	ANNOT_Q2L2_1	0.3358585918255756	0.7369775039440079	0.9677834209225183
ad	caudate	EA	ANNOT_Q3L2_1	0.1422910897622168	0.8868500842553002	0.9757664596103683
ad	caudate	EA	ANNOT_Q4L2_1	0.8029273210806619	0.42201674359879515	0.9677834209225183
ad	caudate	EA	ANNOT_Q5L2_1	-0.3988787767618125	0.6899825278995066	0.9677834209225183
ad	hippocampus	EA	ANNOT_Q1L2_1	0.8181175371398569	0.4132900759412059	0.9677834209225183
ad	hippocampus	EA	ANNOT_Q2L2_1	-1.7292814079580223	0.08375874247719173	0.9677834209225183
ad	hippocampus	EA	ANNOT_Q3L2_1	0.66575747787157	0.5055661281861439	0.9677834209225183
ad	hippocampus	EA	ANNOT_Q4L2_1	1.0976767920968038	0.2723456472754635	0.9677834209225183
ad	hippocampus	EA	ANNOT_Q5L2_1	-0.4333508008155332	0.664759937249527	0.9677834209225183
ad	dlpfc	EA	ANNOT_Q1L2_1	0.2868505742299105	0.7742267367380147	0.9677834209225183
ad	dlpfc	EA	ANNOT_Q2L2_1	-0.872759931107444	0.38279394384659815	0.9677834209225183
ad	dlpfc	EA	ANNOT_Q3L2_1	1.3071654618857087	0.19115652271603967	0.9677834209225183
ad	dlpfc	EA	ANNOT_Q4L2_1	-0.1556135551749753	0.876337639627986	0.9757664596103683
ad	dlpfc	EA	ANNOT_Q5L2_1	-1.1843146764415216	0.23628852128141853	0.9677834209225183
smoking	caudate	EA	ANNOT_Q1L2_1	0.8330226278581387	0.40483196773216434	0.9677834209225183
smoking	caudate	EA	ANNOT_Q2L2_1	-1.214555734730685	0.22453558035258547	0.9677834209225183
smoking	caudate	EA	ANNOT_Q3L2_1	-1.1078259778693345	0.267936978632203	0.9677834209225183
smoking	caudate	EA	ANNOT_Q4L2_1	1.4609954343178544	0.14401669440288267	0.9677834209225183
smoking	caudate	EA	ANNOT_Q5L2_1	-0.6145358838834842	0.5388612681965992	0.9677834209225183
smoking	hippocampus	EA	ANNOT_Q1L2_1	0.7233983769979421	0.46943516806923213	0.9677834209225183
smoking	hippocampus	EA	ANNOT_Q2L2_1	1.3262941440643172	0.18474228578276874	0.9677834209225183
smoking	hippocampus	EA	ANNOT_Q3L2_1	0.3111042208261508	0.7557213925105541	0.9677834209225183
smoking	hippocampus	EA	ANNOT_Q4L2_1	0.9563462193615248	0.33889734614916733	0.9677834209225183
smoking	hippocampus	EA	ANNOT_Q5L2_1	-2.463800454503392	0.013747262238411828	0.8248357343047097
smoking	dlpfc	EA	ANNOT_Q1L2_1	1.6233844222288776	0.10450725266289584	0.9677834209225183
smoking	dlpfc	EA	ANNOT_Q2L2_1	1.3889536312504782	0.1648468504892744	0.9677834209225183
smoking	dlpfc	EA	ANNOT_Q3L2_1	-0.8192414329974121	0.4126486800039202	0.9677834209225183
smoking	dlpfc	EA	ANNOT_Q4L2_1	-0.0854406091970986	0.9319111097079951	0.9757664596103683
smoking	dlpfc	EA	ANNOT_Q5L2_1	-0.3177067443009111	0.7507073948788241	0.9677834209225183
