disease	tissue	ancestry	annotation	Coefficient_z-score	p_value	FDR_q
pd	caudate	AA	ANNOT_Q1L2_1	1.5210937983135815	0.12823630055409008	0.7694178033245405
pd	caudate	AA	ANNOT_Q2L2_1	0.2992216954010499	0.7647708966576765	0.9364541591726652
pd	caudate	AA	ANNOT_Q3L2_1	-1.0094732354509872	0.3127477312302216	0.9061199062477041
pd	caudate	AA	ANNOT_Q4L2_1	-1.5596002104660258	0.11885438675408233	0.7694178033245405
pd	caudate	AA	ANNOT_Q5L2_1	0.60637240205815	0.5442674903846396	0.9170727424603844
pd	hippocampus	AA	ANNOT_Q1L2_1	0.1935753948496219	0.8465083658183135	0.9697693158734251
pd	hippocampus	AA	ANNOT_Q2L2_1	-0.564314281030882	0.5725402640159061	0.9170727424603844
pd	hippocampus	AA	ANNOT_Q3L2_1	0.4925205868576943	0.6223513721154199	0.9170727424603844
pd	hippocampus	AA	ANNOT_Q4L2_1	-1.5863630209060435	0.1126569838705711	0.7694178033245405
pd	hippocampus	AA	ANNOT_Q5L2_1	0.947249242331576	0.34351178849976316	0.9061199062477041
pd	dlpfc	AA	ANNOT_Q1L2_1	0.9018093474524042	0.367158153438921	0.9061199062477041
pd	dlpfc	AA	ANNOT_Q2L2_1	-2.392241844758094	0.016745803940408033	0.4330534948958906
pd	dlpfc	AA	ANNOT_Q3L2_1	1.1183023651857162	0.2634378771209196	0.9061199062477041
pd	dlpfc	AA	ANNOT_Q4L2_1	0.9836540314778142	0.32528564899115775	0.9061199062477041
pd	dlpfc	AA	ANNOT_Q5L2_1	-0.0289059344856307	0.976939612565884	0.9909141591665618
scz	caudate	AA	ANNOT_Q1L2_1	0.2152444034824659	0.8295767731874291	0.9697693158734251
scz	caudate	AA	ANNOT_Q2L2_1	-0.7792620663229607	0.4358253553464957	0.9061199062477041
scz	caudate	AA	ANNOT_Q3L2_1	-0.0483270195051296	0.9614556212555458	0.9909141591665618
scz	caudate	AA	ANNOT_Q4L2_1	0.5025454942218744	0.6152838590028171	0.9170727424603844
scz	caudate	AA	ANNOT_Q5L2_1	0.062835528367208	0.9498974742106312	0.9909141591665618
scz	hippocampus	AA	ANNOT_Q1L2_1	-0.7199684343193917	0.47154443084847975	0.9061199062477041
scz	hippocampus	AA	ANNOT_Q2L2_1	-0.3683653205863174	0.7126008524075031	0.9294793727054388
scz	hippocampus	AA	ANNOT_Q3L2_1	-1.8118276143062484	0.07001283685963977	0.7001283685963977
scz	hippocampus	AA	ANNOT_Q4L2_1	-1.6336943141016838	0.10232305286114673	0.7694178033245405
scz	hippocampus	AA	ANNOT_Q5L2_1	-1.3257000081839057	0.18493908471986442	0.9061199062477041
scz	dlpfc	AA	ANNOT_Q1L2_1	1.1976695207723131	0.2310456995183452	0.9061199062477041
