sample_id	region	n_marker_coordinates	n_marker_coordinates_covered	marker_coverage_fraction	mean_marker_coverage	sample_qc_pass
Br2064	hippocampus	2943	2905	0.987088005436629	18.3034318722392	TRUE
Br2074	hippocampus	2943	2856	0.970438328236493	19.0180088345226	TRUE
Br2076	hippocampus	2943	2789	0.947672443085287	16.2286782195039	TRUE
Br2084	hippocampus	2943	2785	0.946313285762827	16.669045191981	TRUE
Br2242	hippocampus	2943	2931	0.99592252803262	22.6687054026504	TRUE
Br2257	hippocampus	2943	2837	0.963982330954808	18.1722731906218	TRUE
Br2263	hippocampus	2943	2918	0.991505266734625	19.3224600747537	TRUE
Br2267	hippocampus	2943	2827	0.960584437648658	17.7471967380224	TRUE
Br2271	hippocampus	2943	2855	0.970098538905878	17.2776078831125	TRUE
Br2285	hippocampus	2943	2870	0.975195378865104	17.9877675840979	TRUE
Br2288	hippocampus	2943	2913	0.989806320081549	19.528712198437	TRUE
Br2292	hippocampus	2943	2877	0.977573904179409	17.9317023445464	TRUE
