env	term	odds_ratio	ci_lo	ci_hi	p_value	n_nonheritable_features	n_heritable_features	n_env_linked_nonheritable	n_env_linked_heritable	fdr	cohort	tissue	population	vmr_set	modality	run_tag
smoking	env_valueTRUE	Inf	0.0866498595557962	Inf	1	32	69	0	2	1	all_individuals	hippocampus	EA	EA_only	psi	window_250kb
codeine	env_valueTRUE	Inf	0.0114552884615384	Inf	1	29	65	0	1	1	all_individuals	hippocampus	EA	EA_only	psi	window_250kb
morphine	env_valueTRUE	Inf	0.0807836634597998	Inf	1	29	67	0	2	1	all_individuals	hippocampus	EA	EA_only	psi	window_250kb
cocaine	env_valueTRUE	Inf	0.411473770355132	Inf	0.328386849597496	19	55	0	6	1	all_individuals	hippocampus	EA	EA_only	psi	window_250kb
ethanol	env_valueTRUE	Inf	0.316337453865587	Inf	0.301447039296818	32	67	0	4	1	all_individuals	hippocampus	EA	EA_only	psi	window_250kb
nicotine	env_valueTRUE	Inf	0.0866498595557962	Inf	1	32	69	0	2	1	all_individuals	hippocampus	EA	EA_only	psi	window_250kb
any_trauma_hx	env_value	0.428161770470623	0.0530995379062454	3.448584381989	0.370098505758066	25	55	3	3	1	all_individuals	hippocampus	EA	EA_only	psi	window_250kb
education	env_valueless_than_hs	2.43800861568338	0.255520444854015	120.120865190571	0.66054671040691	30	64	1	5	1	all_individuals	hippocampus	EA	EA_only	psi	window_250kb
education	env_valueMD	Inf	0.0103704927884615	Inf	1	21	52	0	1	1	all_individuals	hippocampus	EA	EA_only	psi	window_250kb
education	env_valuemore_than_hs	0	0	18.281303315993	0.319148936170213	30	64	1	0	1	all_individuals	hippocampus	EA	EA_only	psi	window_250kb
marital_status	env_valuepreviously_married	0.531009573208755	0.105112191040186	2.8903608928194	0.452991768739682	31	69	4	5	1	all_individuals	hippocampus	EA	EA_only	psi	window_250kb
marital_status	env_valuesingle	0.445201003268258	0.00554858190275986	35.7750368099038	0.526060606060606	31	69	1	1	1	all_individuals	hippocampus	EA	EA_only	psi	window_250kb
