env	term	statistic	p_value	location_shift	ci_lo	ci_hi	median_vmr_score_heritable	median_vmr_score_nonheritable	n_heritable_vmrs	n_nonheritable_vmrs	fdr	cohort	tissue	population	vmr_set	modality	run_tag
smoking	env_valueTRUE	797	0.539852368125628	0.0226499788327602	-0.0584670820616392	0.156523350550057	0.236788611409796	0.202733677119972	81	18	0.779786753959241	all_individuals	hippocampus	EA	EA_only	psi	window_250kb
codeine	env_valueTRUE	802	0.178182051777387	0.0324350401805796	-0.011094323525446	0.0917660080577774	0.11708958575487	0.0643342049787968	78	17	0.39324339881949	all_individuals	hippocampus	EA	EA_only	psi	window_250kb
morphine	env_valueTRUE	720	0.707484316820412	0.00393942866712006	-0.0354499869517526	0.0521294767607353	0.0800789532742837	0.0680898654245808	80	17	0.876021168771599	all_individuals	hippocampus	EA	EA_only	psi	window_250kb
cocaine	env_valueTRUE	368	0.876021168771599	0.000526955859553655	-0.0796532438345698	0.0719664974176979	0.139193558883067	0.132508885116434	55	13	0.876021168771599	all_individuals	hippocampus	EA	EA_only	psi	window_250kb
ethanol	env_valueTRUE	882	0.137976216470547	0.0267085723042661	-0.0122426541297766	0.132435491115469	0.122526419451317	0.0857861922769501	80	18	0.39324339881949	all_individuals	hippocampus	EA	EA_only	psi	window_250kb
nicotine	env_valueTRUE	589	0.205176175326707	-0.0744453045293282	-0.218170632651148	0.0508276215459441	0.202748092383644	0.317310157626199	81	18	0.39324339881949	all_individuals	hippocampus	EA	EA_only	psi	window_250kb
amphetamines	env_valueTRUE	568	0.74225484883851	-0.0126976097823392	-0.0691205248189206	0.050007163524997	0.169968871086271	0.193359407085242	75	16	0.876021168771599	all_individuals	hippocampus	EA	EA_only	psi	window_250kb
any_trauma_hx	env_value	489	0.870359887743055	0.00358997664156667	-0.10600919445255	0.0859315307241558	0.177750195279629	0.140055366194025	56	17	0.876021168771599	all_individuals	hippocampus	EA	EA_only	psi	window_250kb
education	env_valueless_than_hs	794	0.171570983328995	0.0829243326317154	-0.0163224682512515	0.15275559882914	0.16404933816725	0.0974855588440033	77	17	0.39324339881949	all_individuals	hippocampus	EA	EA_only	psi	window_250kb
education	env_valueMD	473	0.1923585205275	0.0279504590853219	-0.0107342812432782	0.100286150722036	0.0774715296336517	0.0616663156419141	59	13	0.39324339881949	all_individuals	hippocampus	EA	EA_only	psi	window_250kb
education	env_valuemore_than_hs	511	0.159570824668212	-0.0664555349758502	-0.180448395386582	0.0601911426313362	0.238354206296751	0.343558645560166	77	17	0.39324339881949	all_individuals	hippocampus	EA	EA_only	psi	window_250kb
marital_status	env_valuepreviously_married	607	0.269825170976018	-0.112232901171991	-0.519134610049206	0.0564496440164327	0.28066262785463	0.554076555240632	81	18	0.438465902836029	all_individuals	hippocampus	EA	EA_only	psi	window_250kb
marital_status	env_valuesingle	867	0.211746445518187	0.0661200983127147	-0.059990453456045	0.268116921993908	0.585531710972815	0.315925921235305	81	18	0.39324339881949	all_individuals	hippocampus	EA	EA_only	psi	window_250kb
