"","ID#","DNum","BrNum","Region"
"89","LIBD354","D5957","Br1581","Hippocampus"
"90","LIBD369","D5959","Br1590","Hippocampus"
"91","LIBD362","D5963","Br1637","Hippocampus"
"92","LIBD342","D5967","Br1678","Hippocampus"
"93","LIBD355","D5969","Br1684","Hippocampus"
"94","LIBD363","D5972","Br1721","Hippocampus"
"95","LIBD343","D5975","Br1905","Hippocampus"
"96","LIBD344","D5995","Br1067","Hippocampus"
"97","LIBD377","D5999","Br1111","Hippocampus"
"98","LIBD356","D6001","Br1142","Hippocampus"
"99","LIBD364","D6017","Br1464","Hippocampus"
"100","LIBD365","D6025","Br1579","Hippocampus"
"101","LIBD357","D6026","Br1585","Hippocampus"
"102","LIBD366","D6037","Br1657","Hippocampus"
"103","LIBD367","D6044","Br1700","Hippocampus"
"104","LIBD345","D6045","Br1703","Hippocampus"
"105","LIBD378","D6056","Br1898","Hippocampus"
"106","LIBD368","D6069","Br1039","Hippocampus"
"107","LIBD358","D6073","Br1122","Hippocampus"
"108","LIBD379","D6077","Br1179","Hippocampus"
"109","LIBD376","D6085","Br1279","Hippocampus"
"110","LIBD370","D6111","Br1473","Hippocampus"
"111","LIBD380","D6112","Br1474","Hippocampus"
"112","LIBD381","D6121","Br1946","Hippocampus"
"113","LIBD346","D6158","Br1143","Hippocampus"
"114","LIBD311","D7548","Br1581","DLPFC"
"115","LIBD1051_041618","D0022","Br1552","DLPFC"
"116","LIBD1052_041618","D0026","Br1371","DLPFC"
"117","LIBD1053_041618","D0041","Br1303","DLPFC"
"118","LIBD1054_041618","D0139","Br1249","DLPFC"
"119","LIBD1055_041618","D0140","Br1351","DLPFC"
"120","LIBD1056_041618","D0272","Br1682","DLPFC"
"121","LIBD1057_041618","D0285","Br1693","DLPFC"
"122","LIBD1058_041618","D1606","Br1053","DLPFC"
"123","LIBD1059_041618","D1608","Br1420","DLPFC"
"124","LIBD1060_041618","D1612","Br1499","DLPFC"
"125","LIBD1061_041618","D1613","Br1527","DLPFC"
"126","LIBD1062_041618","D1629","Br1648","DLPFC"
"127","LIBD1063_041618","D5141","Br1007","Hippocampus"
"128","LIBD1064_041618","D5143","Br1054","Hippocampus"
"129","LIBD1065_041618","D5145","Br1069","Hippocampus"
"130","LIBD1066_041618","D5147","Br1099","Hippocampus"
"131","LIBD1067_041618","D5149","Br1113","Hippocampus"
"132","LIBD1068_041618","D5150","Br1137","Hippocampus"
"133","LIBD1069_041618","D5155","Br1214","Hippocampus"
"134","LIBD1070_041618","D5156","Br1249","Hippocampus"
"135","LIBD1071_041618","D5158","Br1275","Hippocampus"
"136","LIBD1072_041618","D5167","Br1522","Hippocampus"
"137","LIBD1073_041618","D5169","Br1539","Hippocampus"
"138","LIBD1074_041618","D5171","Br1613","Hippocampus"
"139","LIBD1075_041618","D1638","Br1054","DLPFC"
"140","LIBD1076_041618","D1648","Br1056","DLPFC"
"141","LIBD1077_041618","D1705","Br1017","DLPFC"
"142","LIBD1078_041618","D1708","Br1594","DLPFC"
"143","LIBD1079_041618","D1764","Br1578","DLPFC"
"144","LIBD1080_041618","D1779","Br1099","DLPFC"
"145","LIBD1081_041618","D1780","Br1348","DLPFC"
"146","LIBD1082_041618","D1781","Br1447","DLPFC"
"147","LIBD1083_041618","D1842","Br1280","DLPFC"
"148","LIBD1084_041618","D1844","Br1498","DLPFC"
"149","LIBD1085_041618","D1846","Br1605","DLPFC"
"150","LIBD1086_041618","D1852","Br1007","DLPFC"
"151","LIBD1087_041618","D5173","Br1654","Hippocampus"
"152","LIBD1088_041618","D5175","Br1695","Hippocampus"
"153","LIBD1089_041618","D5823","Br1102","Hippocampus"
"154","LIBD1090_041618","D5825","Br1528","Hippocampus"
"155","LIBD1091_041618","D5828","Br1605","Hippocampus"
"156","LIBD1092_041618","D5832","Br1740","Hippocampus"
"157","LIBD1093_041618","D5848","Br1527","Hippocampus"
"158","LIBD1094_041618","D5849","Br1578","Hippocampus"
"159","LIBD1095_041618","D5901","Br1056","Hippocampus"
"160","LIBD1096_041618","D5923","Br1339","Hippocampus"
"161","LIBD1097_041618","D5926","Br1383","Hippocampus"
"162","LIBD1098_041618","D5933","Br1420","Hippocampus"
"163","LIBD1099_041618","D1910","Br1740","DLPFC"
"164","LIBD1100_041618","D1944","Br1733","DLPFC"
"165","LIBD1101_041618","D1966","Br1587","DLPFC"
"166","LIBD1102_041618","D1974","Br1528","DLPFC"
"167","LIBD1103_041618","D1991","Br1459","DLPFC"
"168","LIBD1104_041618","D1997","Br1958","DLPFC"
"169","LIBD1105_041618","D2006","Br1339","DLPFC"
"170","LIBD1106_041618","D2033","Br1383","DLPFC"
"171","LIBD1107_041618","D2036","Br1912","DLPFC"
"172","LIBD1108_041618","D2062","Br2009","DLPFC"
"173","LIBD1109_041618","D2124","Br1102","DLPFC"
"174","LIBD1110_041618","D2125","Br1446","DLPFC"
"175","LIBD1111_041618","D5939","Br1447","Hippocampus"
"176","LIBD1112_041618","D5956","Br1568","Hippocampus"
"177","LIBD1113_041618","D5968","Br1682","Hippocampus"
"178","LIBD1114_041618","D6011","Br1303","Hippocampus"
"179","LIBD1115_041618","D6012","Br1371","Hippocampus"
"180","LIBD1116_041618","D6019","Br1499","Hippocampus"
"181","LIBD1117_041618","D6027","Br1594","Hippocampus"
"182","LIBD1118_041618","D6034","Br1648","Hippocampus"
"183","LIBD1119_041618","D6042","Br1693","Hippocampus"
"184","LIBD1120_041618","D6047","Br1733","Hippocampus"
"185","LIBD1121_041618","D6086","Br1280","Hippocampus"
"186","LIBD1122_041618","D6089","Br1297","Hippocampus"
"187","LIBD1123_041618","D2126","Br1568","DLPFC"
"188","LIBD1124_041618","D5003","Br1069","DLPFC"
"189","LIBD1125_041618","D5005","Br1137","DLPFC"
"190","LIBD1126_041618","D5007","Br1214","DLPFC"
"191","LIBD1127_041618","D5009","Br1275","DLPFC"
"192","LIBD1128_041618","D5011","Br1297","DLPFC"
"193","LIBD1129_041618","D5015","Br1522","DLPFC"
"194","LIBD1130_041618","D5016","Br1539","DLPFC"
"195","LIBD1131_041618","D5017","Br1613","DLPFC"
"196","LIBD1132_041618","D5018","Br1654","DLPFC"
"197","LIBD1133_041618","D5020","Br1695","DLPFC"
"198","LIBD1134_041618","D5067","Br1113","DLPFC"
"199","LIBD1135_041618","D6096","Br1348","Hippocampus"
"200","LIBD1136_041618","D6108","Br1459","Hippocampus"
"201","LIBD1137_041618","D6114","Br1498","Hippocampus"
"202","LIBD1138_041618","D6117","Br1552","Hippocampus"
"203","LIBD1139_041618","D6120","Br1912","Hippocampus"
"204","LIBD1140_041618","D6122","Br1958","Hippocampus"
"205","LIBD1141_041618","D6132","Br2009","Hippocampus"
"206","LIBD1142_041618","D6150","Br1017","Hippocampus"
"207","LIBD1143_041618","D6152","Br1053","Hippocampus"
"208","LIBD1144_041618","D6172","Br1446","Hippocampus"
"209","LIBD1145_041618","D6180","Br1587","Hippocampus"
"210","LIBD1146_041618","D6235","Br1351","Hippocampus"
"211","LIBD1147_042518","D1193","Br1004","DLPFC"
"212","LIBD1148_042518","D6148","Br1004","Hippocampus"
"213","LIBD1149_042518","D1443","Br1021","DLPFC"
"214","LIBD1150_042518","D5899","Br1021","Hippocampus"
"215","LIBD1151_042518","D1195","Br1023","DLPFC"
"216","LIBD1152_042518","D5142","Br1023","Hippocampus"
"217","LIBD1153_042518","D1445","Br1030","DLPFC"
"218","LIBD1154_042518","D5991","Br1030","Hippocampus"
"219","LIBD1155_042518","D1450","Br1084","DLPFC"
"220","LIBD1156_042518","D5903","Br1084","Hippocampus"
"221","LIBD1157_042518","D1205","Br1092","DLPFC"
"222","LIBD1158_042518","D6072","Br1092","Hippocampus"
"223","LIBD1159_042518","D1451","Br1093","DLPFC"
"224","LIBD1160_042518","D5905","Br1093","Hippocampus"
"225","LIBD1161_042518","D1207","Br1105","DLPFC"
"226","LIBD1162_042518","D5998","Br1105","Hippocampus"
"227","LIBD1163_042518","D1215","Br1134","DLPFC"
"228","LIBD1164_042518","D6074","Br1134","Hippocampus"
"229","LIBD1165_042518","D1223","Br1160","DLPFC"
"230","LIBD1166_042518","D5153","Br1160","Hippocampus"
"231","LIBD1167_042518","D1225","Br1167","DLPFC"
"232","LIBD1168_042518","D6075","Br1167","Hippocampus"
"233","LIBD1169_042518","D1228","Br1187","DLPFC"
"234","LIBD1170_042518","D6161","Br1187","Hippocampus"
"235","LIBD1171_042518","D1231","Br1193","DLPFC"
"236","LIBD1172_042518","D6005","Br1193","Hippocampus"
"237","LIBD1173_042518","D1237","Br1227","DLPFC"
"238","LIBD1174_042518","D6163","Br1227","Hippocampus"
"239","LIBD1175_042518","D1238","Br1228","DLPFC"
"240","LIBD1176_042518","D6007","Br1228","Hippocampus"
"241","LIBD1177_042518","D1458","Br1235","DLPFC"
"242","LIBD1178_042518","D5910","Br1235","Hippocampus"
"243","LIBD1179_042518","D1459","Br1245","DLPFC"
"244","LIBD1180_042518","D6008","Br1245","Hippocampus"
"245","LIBD1181_042518","D1242","Br1250","DLPFC"
"246","LIBD1182_042518","D6080","Br1250","Hippocampus"
"247","LIBD1183_042518","D1243","Br1263","DLPFC"
"248","LIBD1184_042518","D6081","Br1263","Hippocampus"
"249","LIBD1185_042518","D1460","Br1265","DLPFC"
"250","LIBD1186_042518","D5912","Br1265","Hippocampus"
"251","LIBD1187_042518","D1247","Br1276","DLPFC"
"252","LIBD1188_042518","D6084","Br1276","Hippocampus"
"253","LIBD1189_042518","D1249","Br1281","DLPFC"
"254","LIBD1190_042518","D6087","Br1281","Hippocampus"
"255","LIBD1191_042518","D1464","Br1298","DLPFC"
"256","LIBD1192_042518","D5916","Br1298","Hippocampus"
"257","LIBD1193_042518","D1262","Br1314","DLPFC"
"258","LIBD1194_042518","D5163","Br1314","Hippocampus"
"259","LIBD1195_042518","D1467","Br1320","DLPFC"
"260","LIBD1196_042518","D5919","Br1320","Hippocampus"
"261","LIBD1197_042518","D1263","Br1324","DLPFC"
"262","LIBD1198_042518","D6093","Br1324","Hippocampus"
"263","LIBD1199_042518","D1264","Br1325","DLPFC"
"264","LIBD1200_042518","D6094","Br1325","Hippocampus"
"265","LIBD1201_042518","D1469","Br1326","DLPFC"
"266","LIBD1202_042518","D5921","Br1326","Hippocampus"
"267","LIBD1203_042518","D1266","Br1340","DLPFC"
"268","LIBD1204_042518","D6095","Br1340","Hippocampus"
"269","LIBD1205_042518","D1269","Br1350","DLPFC"
"270","LIBD1206_042518","D6097","Br1350","Hippocampus"
"271","LIBD1207_042518","D1472","Br1370","DLPFC"
"272","LIBD1208_042518","D5924","Br1370","Hippocampus"
"273","LIBD1209_042518","D1273","Br1378","DLPFC"
"274","LIBD1210_042518","D6013","Br1378","Hippocampus"
"275","LIBD1211_042518","D1278","Br1389","DLPFC"
"276","LIBD1212_042518","D6167","Br1389","Hippocampus"
"277","LIBD1213_042518","D1279","Br1390","DLPFC"
"278","LIBD1214_042518","D6168","Br1390","Hippocampus"
"279","LIBD1215_042518","D1475","Br1399","DLPFC"
"280","LIBD1216_042518","D5927","Br1399","Hippocampus"
"281","LIBD1217_042518","D1284","Br1410","DLPFC"
"282","LIBD1218_042518","D6102","Br1410","Hippocampus"
"283","LIBD1219_042518","D1476","Br1416","DLPFC"
"284","LIBD1220_042518","D5929","Br1416","Hippocampus"
"285","LIBD1221_042518","D1479","Br1425","DLPFC"
"286","LIBD1222_042518","D5934","Br1425","Hippocampus"
"287","LIBD1223_042518","D1290","Br1442","DLPFC"
"288","LIBD1224_042518","D6170","Br1442","Hippocampus"
"289","LIBD1225_042518","D1483","Br1453","DLPFC"
"290","LIBD1226_042518","D6014","Br1453","Hippocampus"
"291","LIBD1227_042518","D1484","Br1455","DLPFC"
"292","LIBD1228_042518","D5942","Br1455","Hippocampus"
"293","LIBD1229_042518","D1297","Br1463","DLPFC"
"294","LIBD1230_042518","D6109","Br1463","Hippocampus"
"295","LIBD1231_042518","D1495","Br1509","DLPFC"
"296","LIBD1232_042518","D6020","Br1509","Hippocampus"
"297","LIBD1233_042518","D1305","Br1517","DLPFC"
"298","LIBD1234_042518","D6115","Br1517","Hippocampus"
"299","LIBD1235_042518","D1308","Br1524","DLPFC"
"300","LIBD1236_042518","D6176","Br1524","Hippocampus"
"301","LIBD1237_042518","D1312","Br1536","DLPFC"
"302","LIBD1238_042518","D6177","Br1536","Hippocampus"
"303","LIBD1239_042518","D1499","Br1538","DLPFC"
"304","LIBD1240_042518","D5833","Br1538","Hippocampus"
"305","LIBD1241_042518","D1318","Br1556","DLPFC"
"306","LIBD1242_042518","D6022","Br1556","Hippocampus"
"307","LIBD1243_042518","D1321","Br1563","DLPFC"
"308","LIBD1244_042518","D5954","Br1563","Hippocampus"
"309","LIBD1245_042518","D1322","Br1565","DLPFC"
"310","LIBD1246_042518","D5955","Br1565","Hippocampus"
"311","LIBD1247_042518","D1324","Br1571","DLPFC"
"312","LIBD1248_042518","D6024","Br1571","Hippocampus"
"313","LIBD1249_042518","D1501","Br1573","DLPFC"
"314","LIBD1250_042518","D5834","Br1573","Hippocampus"
"315","LIBD1251_042518","D1502","Br1576","DLPFC"
"316","LIBD1252_042518","D5827","Br1576","Hippocampus"
"317","LIBD1253_042518","D1507","Br1588","DLPFC"
"318","LIBD1254_042518","D5958","Br1588","Hippocampus"
"319","LIBD1255_042518","D1512","Br1602","DLPFC"
"320","LIBD1256_042518","D6029","Br1602","Hippocampus"
"321","LIBD1257_042518","D1327","Br1611","DLPFC"
"322","LIBD1258_042518","D5170","Br1611","Hippocampus"
"323","LIBD1259_042518","D1329","Br1615","DLPFC"
"324","LIBD1260_042518","D5172","Br1615","Hippocampus"
"325","LIBD1261_042518","D1333","Br1644","DLPFC"
"326","LIBD1262_042518","D5964","Br1644","Hippocampus"
"327","LIBD1263_042518","D1335","Br1649","DLPFC"
"328","LIBD1264_042518","D6035","Br1649","Hippocampus"
"329","LIBD1265_042518","D1519","Br1663","DLPFC"
"330","LIBD1266_042518","D5966","Br1663","Hippocampus"
"331","LIBD1267_042518","D1520","Br1664","DLPFC"
"332","LIBD1268_042518","D6038","Br1664","Hippocampus"
"333","LIBD1269_042518","D1133","Br1688","DLPFC"
"334","LIBD1270_042518","D5970","Br1688","Hippocampus"
"335","LIBD1271_042518","D1978","Br1722","DLPFC"
"336","LIBD1272_042518","D6046","Br1722","Hippocampus"
"337","LIBD1273_042518","D1533","Br1738","DLPFC"
"338","LIBD1274_042518","D6049","Br1738","Hippocampus"
"339","LIBD1275_042518","D7549","Br1753","DLPFC"
"340","LIBD1276_042518","D6118","Br1753","Hippocampus"
"341","LIBD1277_042518","D1350","Br1761","DLPFC"
"342","LIBD1278_042518","D6185","Br1761","Hippocampus"
"343","LIBD1279_042518","D1898","Br1832","DLPFC"
"344","LIBD1280_042518","D6051","Br1832","Hippocampus"
"345","LIBD1281_042518","D1414","Br1880","DLPFC"
"346","LIBD1282_042518","D6188","Br1880","Hippocampus"
"347","LIBD1283_042518","D0034","Br1883","DLPFC"
"348","LIBD1284_042518","D6053","Br1883","Hippocampus"
"349","LIBD1285_042518","D1615","Br1884","DLPFC"
"350","LIBD1286_042518","D6054","Br1884","Hippocampus"
"351","LIBD1287_042518","D2037","Br1927","DLPFC"
"352","LIBD1288_042518","D5883","Br1927","Hippocampus"
"353","LIBD1289_042518","D1673","Br2003","DLPFC"
"354","LIBD1290_042518","D5181","Br2003","Hippocampus"
"355","LIBD1291_042518","D2087","Br2020","DLPFC"
"356","LIBD1292_042518","D6125","Br2020","Hippocampus"
"357","LIBD1293_042518","D1998","Br2038","DLPFC"
"358","LIBD1294_042518","D6126","Br2038","Hippocampus"
"359","LIBD1295_042518","D1989","Br2044","DLPFC"
"360","LIBD1296_042518","D6191","Br2044","Hippocampus"
"361","LIBD1297_042518","D1999","Br2046","DLPFC"
"362","LIBD1298_042518","D6192","Br2046","Hippocampus"
"363","LIBD1299_042518","D2091","Br2053","DLPFC"
"364","LIBD1300_042518","D5183","Br2053","Hippocampus"
"365","LIBD1301_042518","D2053","Br2064","DLPFC"
"366","LIBD1302_042518","D6194","Br2064","Hippocampus"
"367","LIBD1303_042518","D2054","Br2074","DLPFC"
"368","LIBD1304_042518","D6195","Br2074","Hippocampus"
"369","LIBD1305_042518","D1956","Br2076","DLPFC"
"370","LIBD1306_042518","D6196","Br2076","Hippocampus"
"371","LIBD1307_042518","D1948","Br2084","DLPFC"
"372","LIBD1308_042518","D6197","Br2084","Hippocampus"
"373","LIBD1309_042518","D2048","Br2242","DLPFC"
"374","LIBD1310_042518","D6128","Br2242","Hippocampus"
"375","LIBD1311_042518","D2066","Br2257","DLPFC"
"376","LIBD1312_042518","D5184","Br2257","Hippocampus"
"377","LIBD1313_042518","D2067","Br2263","DLPFC"
"378","LIBD1314_042518","D6198","Br2263","Hippocampus"
"379","LIBD1315_042518","D2123","Br2267","DLPFC"
"380","LIBD1316_042518","D6201","Br2267","Hippocampus"
"381","LIBD1317_042518","D2076","Br2271","DLPFC"
"382","LIBD1318_042518","D6131","Br2271","Hippocampus"
"383","LIBD1319_042518","D2077","Br2285","DLPFC"
"384","LIBD1320_042518","D6202","Br2285","Hippocampus"
"385","LIBD1321_042518","D2078","Br2288","DLPFC"
"386","LIBD1322_042518","D6199","Br2288","Hippocampus"
"387","LIBD1323_042518","D1960","Br2292","DLPFC"
"388","LIBD1324_042518","D6130","Br2292","Hippocampus"
