env	term	statistic	p_value	location_shift	ci_lo	ci_hi	median_vmr_score_heritable	median_vmr_score_nonheritable	n_heritable_vmrs	n_nonheritable_vmrs	fdr	cohort	tissue	population	modality	run_tag
smoking	env_valueTRUE	888	0.0138209335325466	-0.149811605455535	-0.312937502647174	-0.0293209414277321	0.239470042682402	0.433975177407238	85	30	0.0829256011952797	BA_only	hippocampus	AA	expression	nearest_gene_window_250kb
codeine	env_valueTRUE	1634	0.0223990016901565	0.122635038150219	0.0153700631359041	0.25490552451844	0.387025099011617	0.208498513136633	85	30	0.089596006760626	BA_only	hippocampus	AA	expression	nearest_gene_window_250kb
morphine	env_valueTRUE	1696	0.0073963018099723	0.132273358987176	0.0291232383347373	0.236007412213825	0.296597788363622	0.106193123724536	85	30	0.0829256011952797	BA_only	hippocampus	AA	expression	nearest_gene_window_250kb
cocaine	env_valueTRUE	1502	0.149095381812114	0.0712949147263246	-0.0169976684946473	0.164574518128142	0.259669186680137	0.173210109581746	85	30	0.357828916349073	BA_only	hippocampus	AA	expression	nearest_gene_window_250kb
ethanol	env_valueTRUE	1273	0.992376703502773	-1.88618912403269e-05	-0.10362614896623	0.0916270763759868	0.249326266042519	0.19421547032971	85	30	0.992376703502773	BA_only	hippocampus	AA	expression	nearest_gene_window_250kb
nicotine	env_valueTRUE	1356	0.608119345468545	0.0215794393029823	-0.0886804435103107	0.142221156935453	0.306210621028412	0.247425438773955	85	30	0.707779665691375	BA_only	hippocampus	AA	expression	nearest_gene_window_250kb
amphetamines	env_valueTRUE	1191	0.594816817595084	-0.0287202357633455	-0.141757723927719	0.0823554236700008	0.26235299813082	0.287847911496079	85	30	0.707779665691375	BA_only	hippocampus	AA	expression	nearest_gene_window_250kb
any_trauma_hx	env_value	1581	0.051662018537748	0.105614677184186	-4.61216888448996e-05	0.251822273839094	0.417821683483616	0.285056506574623	85	30	0.154986055613244	BA_only	hippocampus	AA	expression	nearest_gene_window_250kb
education	env_valueless_than_hs	1421	0.354035852085374	0.0615582686230418	-0.0574939559487559	0.135318887105539	0.296136330982262	0.204590573415106	85	30	0.53105377812806	BA_only	hippocampus	AA	expression	nearest_gene_window_250kb
education	env_valuemore_than_hs	1203	0.648798026883761	-0.0203971604146825	-0.127311614625942	0.0737407536473843	0.219786771571328	0.251763054301101	85	30	0.707779665691375	BA_only	hippocampus	AA	expression	nearest_gene_window_250kb
marital_status	env_valuepreviously_married	1117	0.315751967287216	-0.0673187466605733	-0.208776563047589	0.0692635411356522	0.292131094177638	0.397291209609125	85	30	0.53105377812806	BA_only	hippocampus	AA	expression	nearest_gene_window_250kb
marital_status	env_valuesingle	1091	0.242469075542659	-0.0433761761492656	-0.15711448232676	0.0346237209523107	0.221093010998393	0.237849729893659	85	30	0.484938151085317	BA_only	hippocampus	AA	expression	nearest_gene_window_250kb
