env	term	statistic	p_value	location_shift	ci_lo	ci_hi	median_neg_log10p_heritable	median_neg_log10p_nonheritable	n_heritable_features	n_nonheritable_features	fdr	cohort	tissue	population	vmr_set	modality	run_tag
smoking	env_valueTRUE	34948	0.273900232805961	-0.0288755247605053	-0.0830333256761777	0.0228575279570882	0.316784796202642	0.379751859760221	627	119	0.629246600644571	all_individuals	dlpfc	AA	shared	psi	window_250kb
codeine	env_valueTRUE	34898	0.912105849019095	0.00135141893819754	-0.0291717506440153	0.0308009536344234	0.164830531070031	0.162115214312945	603	115	0.912105849019095	all_individuals	dlpfc	AA	shared	psi	window_250kb
morphine	env_valueTRUE	32353	0.673320293286507	-0.00461580029237813	-0.0294661149740257	0.0174581520643572	0.122535180999241	0.145403660383432	598	111	0.912105849019095	all_individuals	dlpfc	AA	shared	psi	window_250kb
cocaine	env_valueTRUE	26908	0.393420930838149	0.00812005545963766	-0.0111388266169953	0.0292132837344389	0.104328946617248	0.0978380802411623	537	95	0.730638871556563	all_individuals	dlpfc	AA	shared	psi	window_250kb
ethanol	env_valueTRUE	38475	0.234962682752239	0.0213273174627035	-0.0132616620365862	0.0603660167564285	0.232454633697106	0.178370340693181	605	119	0.629246600644571	all_individuals	dlpfc	AA	shared	psi	window_250kb
nicotine	env_valueTRUE	35330	0.290421507989802	-0.0244233456285783	-0.0761971529980433	0.0211417998507856	0.267550746363022	0.3012377203258	627	120	0.629246600644571	all_individuals	dlpfc	AA	shared	psi	window_250kb
amphetamines	env_valueTRUE	30605	0.735773340631991	-0.00553356406684509	-0.0419518364822046	0.0293978948312668	0.20738229868594	0.215554475719814	568	110	0.912105849019095	all_individuals	dlpfc	AA	shared	psi	window_250kb
any_trauma_hx	env_value	32142	0.220937870203207	0.0243991454085822	-0.0147889867962203	0.0696525280675581	0.298646825261006	0.296252959017597	554	108	0.629246600644571	all_individuals	dlpfc	AA	shared	psi	window_250kb
education	env_valueless_than_hs	31476	0.017308183543684	-0.0538134575121113	-0.104197071948196	-0.00878073146420863	0.236544771177625	0.286277989404758	619	118	0.160003647504524	all_individuals	dlpfc	AA	shared	psi	window_250kb
education	env_valueMD	27171	0.894408095812984	-0.00149528033130762	-0.0257608216554134	0.0225243041712336	0.118471294240655	0.130721202124454	548	100	0.912105849019095	all_individuals	dlpfc	AA	shared	psi	window_250kb
education	env_valuemore_than_hs	36962	0.85736273941279	0.00742085993475315	-0.0751507161487574	0.0868269877477825	0.576752210262987	0.535856352042852	620	118	0.912105849019095	all_individuals	dlpfc	AA	shared	psi	window_250kb
marital_status	env_valuepreviously_married	39125	0.0246159457699267	0.0422405689115476	0.00445915387005002	0.0879796400613421	0.244478532870222	0.143677627789384	601	115	0.160003647504524	all_individuals	dlpfc	AA	shared	psi	window_250kb
marital_status	env_valuesingle	35694	0.576151613800586	0.0262618660771036	-0.0741672199684796	0.128284559311743	0.599391288702013	0.571670102618986	601	115	0.912105849019095	all_individuals	dlpfc	AA	shared	psi	window_250kb
