"tissue","n","mean_h2","sd_h2","median_h2"
"caudate",11741,0.155605514759451,0.173064760544096,0.0913909610747261
"dlpfc",9564,0.143175084976924,0.122782353844953,0.10699348404661
"hippocampus",9838,0.145010131972291,0.128529622537094,0.105442548195004
