"h2_category","n","mean_h2","median_h2"
"Heritable",5051,0.207470556322659,0.139642171857214
"Non-heritable",3669,0.0757433828242527,0.0785863628001316
"Low prediction",1118,0.0901372332517609,0.0788800730778046
