"h2_category","n","mean_h2","median_h2"
"Heritable",5015,0.200970925860862,0.138273967437315
"Non-heritable",3539,0.0759523925991141,0.0789034962011486
"Low prediction",1010,0.0917443585334775,0.0812380291439883
