"h2_category","n","mean_h2","median_h2"
"Heritable",5446,0.337035182837772,0.232504586308582
"Non-heritable",4136,0.0712432435309472,0.0733637957687884
"Low prediction",1767,0.0873654041305765,0.0724100501534886
