cohort	tissue	population	modality	run_tag	bin_type	h2_bin	n_vmrs	n_any_fdr10	prop_any_fdr10	median_max_abs_beta	median_pairs_tested
Discovery	caudate	AA	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q1	1981	55	0.02776375567895	0.265707247614756	1
Discovery	caudate	AA	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q2	1981	74	0.0373548712771328	0.267658800963007	1
Discovery	caudate	AA	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q3	1981	72	0.0363452801615346	0.265021268186583	1
Discovery	caudate	AA	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q4	1981	92	0.0464411913175164	0.244538790317389	1
Discovery	caudate	AA	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q5	1981	120	0.060575466935891	0.203562294456271	1
Discovery	caudate	AA	expression_nearest_gene	nearest_gene_window_250kb	h2_tertile	T1	3302	107	0.032404603270745	0.264941609625066	1
Discovery	caudate	AA	expression_nearest_gene	nearest_gene_window_250kb	h2_tertile	T2	3301	132	0.0399878824598606	0.262361546748274	1
Discovery	caudate	AA	expression_nearest_gene	nearest_gene_window_250kb	h2_tertile	T3	3302	174	0.0526953361599031	0.219383974819788	1
Discovery	dlpfc	AA	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q1	1611	14	0.00869025450031037	0.171354020907458	1
Discovery	dlpfc	AA	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q2	1611	10	0.00620732464307883	0.164487738326403	1
Discovery	dlpfc	AA	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q3	1610	6	0.00372670807453416	0.155135155740119	1
Discovery	dlpfc	AA	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q4	1611	27	0.0167597765363129	0.170999788730782	1
Discovery	dlpfc	AA	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q5	1611	58	0.0360024829298572	0.173447029151045	1
Discovery	dlpfc	AA	expression_nearest_gene	nearest_gene_window_250kb	h2_tertile	T1	2685	22	0.00819366852886406	0.169992101812236	1
Discovery	dlpfc	AA	expression_nearest_gene	nearest_gene_window_250kb	h2_tertile	T2	2684	15	0.00558867362146051	0.158738239651071	1
Discovery	dlpfc	AA	expression_nearest_gene	nearest_gene_window_250kb	h2_tertile	T3	2685	78	0.0290502793296089	0.174306067654648	1
Discovery	hippocampus	AA	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q1	1657	8	0.00482800241400121	0.287282659161306	1
Discovery	hippocampus	AA	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q2	1657	17	0.0102595051297526	0.271266953695323	1
Discovery	hippocampus	AA	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q3	1657	12	0.00724200362100181	0.267103012070393	1
Discovery	hippocampus	AA	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q4	1657	14	0.00844900422450211	0.263974469695508	1
Discovery	hippocampus	AA	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q5	1657	64	0.0386240193120097	0.25913438279775	1
Discovery	hippocampus	AA	expression_nearest_gene	nearest_gene_window_250kb	h2_tertile	T1	2762	16	0.0057929036929761	0.282822078481173	1
Discovery	hippocampus	AA	expression_nearest_gene	nearest_gene_window_250kb	h2_tertile	T2	2761	26	0.00941687794277436	0.261468764687971	1
Discovery	hippocampus	AA	expression_nearest_gene	nearest_gene_window_250kb	h2_tertile	T3	2762	73	0.0264301230992035	0.263142759637517	1
