cohort	tissue	population	modality	run_tag	bin_type	h2_bin	n_vmrs	n_any_fdr10	prop_any_fdr10	median_max_abs_beta	median_pairs_tested
Discovery	caudate	AA	psi	window_250kb	h2_quintile	Q1	2304	26	0.0112847222222222	3.40328523169657	78
Discovery	caudate	AA	psi	window_250kb	h2_quintile	Q2	2303	23	0.00998697351280938	3.2107699543675	80
Discovery	caudate	AA	psi	window_250kb	h2_quintile	Q3	2303	17	0.00738167607468519	3.15914422233671	72
Discovery	caudate	AA	psi	window_250kb	h2_quintile	Q4	2303	30	0.0130264871906209	3.03835184089293	76
Discovery	caudate	AA	psi	window_250kb	h2_quintile	Q5	2304	81	0.03515625	2.33488848901605	54
Discovery	caudate	AA	psi	window_250kb	h2_tertile	T1	3839	38	0.00989841104454285	3.3360588060064	79
Discovery	caudate	AA	psi	window_250kb	h2_tertile	T2	3839	36	0.00937744204219849	3.15914422233671	74
Discovery	caudate	AA	psi	window_250kb	h2_tertile	T3	3839	103	0.0268299036207346	2.6451658357988	62
Discovery	dlpfc	AA	psi	window_250kb	h2_quintile	Q1	1890	11	0.00582010582010582	2.14550906780791	48
Discovery	dlpfc	AA	psi	window_250kb	h2_quintile	Q2	1890	5	0.00264550264550265	2.12202221034106	49
Discovery	dlpfc	AA	psi	window_250kb	h2_quintile	Q3	1889	7	0.00370566437268396	2.10778129193248	50
Discovery	dlpfc	AA	psi	window_250kb	h2_quintile	Q4	1890	6	0.00317460317460317	2.14526010549439	52
Discovery	dlpfc	AA	psi	window_250kb	h2_quintile	Q5	1890	19	0.0100529100529101	2.14218412415181	49.5
Discovery	dlpfc	AA	psi	window_250kb	h2_tertile	T1	3150	14	0.00444444444444444	2.14615600428502	48
Discovery	dlpfc	AA	psi	window_250kb	h2_tertile	T2	3149	10	0.00317561130517625	2.0976199728333	50
Discovery	dlpfc	AA	psi	window_250kb	h2_tertile	T3	3150	24	0.00761904761904762	2.15756093440422	50
Discovery	hippocampus	AA	psi	window_250kb	h2_quintile	Q1	1944	13	0.00668724279835391	2.70640940447894	49
Discovery	hippocampus	AA	psi	window_250kb	h2_quintile	Q2	1943	6	0.00308800823468863	2.61174184012225	48
Discovery	hippocampus	AA	psi	window_250kb	h2_quintile	Q3	1943	11	0.00566134843026248	2.69927515404435	51
Discovery	hippocampus	AA	psi	window_250kb	h2_quintile	Q4	1943	9	0.00463201235203294	2.58794956156347	50
Discovery	hippocampus	AA	psi	window_250kb	h2_quintile	Q5	1943	10	0.00514668039114771	2.38618155195045	47
Discovery	hippocampus	AA	psi	window_250kb	h2_tertile	T1	3239	17	0.00524853349799321	2.66746781316376	49
Discovery	hippocampus	AA	psi	window_250kb	h2_tertile	T2	3238	13	0.00401482396541075	2.67213483526612	49
Discovery	hippocampus	AA	psi	window_250kb	h2_tertile	T3	3239	19	0.00586600802716888	2.45745712498273	48
