env	term	statistic	p_value	location_shift	ci_lo	ci_hi	median_neg_log10p_heritable	median_neg_log10p_nonheritable	n_heritable_features	n_nonheritable_features	fdr	cohort	tissue	population	modality	run_tag
smoking	env_valueTRUE	727	0.248108337546636	-0.0672617837416491	-0.207250389238028	0.0567794739037585	0.282620192001575	0.338814573194047	72	24	0.425328578651376	BA_only	hippocampus	AA	expression	nearest_gene_window_250kb
codeine	env_valueTRUE	1077	0.0721756078493116	0.105306810642322	-0.0153732782106923	0.257763434606511	0.331078809055746	0.199806076292889	72	24	0.215510661156323	BA_only	hippocampus	AA	expression	nearest_gene_window_250kb
morphine	env_valueTRUE	1126	0.0269246472558553	0.123767081252204	0.0104258972151405	0.232737479516787	0.254689944415195	0.0933144579203041	72	24	0.161547883535132	BA_only	hippocampus	AA	expression	nearest_gene_window_250kb
cocaine	env_valueTRUE	1068	0.0850952680957988	0.0907707301536355	-0.00863942613272121	0.218084451831249	0.265601551295839	0.169774214518558	72	24	0.215510661156323	BA_only	hippocampus	AA	expression	nearest_gene_window_250kb
ethanol	env_valueTRUE	753	0.349806546445031	-0.0492495021604945	-0.190985184773156	0.0548799919785144	0.214014720337378	0.302645358813516	72	24	0.524709819667547	BA_only	hippocampus	AA	expression	nearest_gene_window_250kb
nicotine	env_valueTRUE	1065	0.0897961088151345	0.0855971242958385	-0.0128332428023096	0.213755850874517	0.30110737355739	0.210650160096362	72	24	0.215510661156323	BA_only	hippocampus	AA	expression	nearest_gene_window_250kb
amphetamines	env_valueTRUE	824	0.738214977138471	-0.0189323151153439	-0.142185681300541	0.0853572090715903	0.236143033700175	0.214865246304542	72	24	0.805325429605604	BA_only	hippocampus	AA	expression	nearest_gene_window_250kb
any_trauma_hx	env_value	1141	0.0193081868063493	0.1543777307392	0.0146057210892527	0.308421116659051	0.430686257264333	0.23800148105208	72	24	0.161547883535132	BA_only	hippocampus	AA	expression	nearest_gene_window_250kb
education	env_valueless_than_hs	869	0.969627500304708	0.00289547644322388	-0.18046390061264	0.134332272698271	0.356809666028831	0.384470904462938	72	24	0.969627500304708	BA_only	hippocampus	AA	expression	nearest_gene_window_250kb
education	env_valuemore_than_hs	677	0.114561666478672	-0.0959421484606762	-0.219318292976282	0.0279667756355922	0.22198677678961	0.382173119604559	72	24	0.229123332957343	BA_only	hippocampus	AA	expression	nearest_gene_window_250kb
marital_status	env_valuepreviously_married	784	0.50115927176375	-0.0451669565965104	-0.228646596349905	0.0982440065789065	0.316775736956022	0.345029673796996	72	24	0.667794730510235	BA_only	hippocampus	AA	expression	nearest_gene_window_250kb
marital_status	env_valuesingle	794	0.556495608758529	-0.0254388991590822	-0.157105844886222	0.0687768544778157	0.228021920000029	0.251483212310368	72	24	0.667794730510235	BA_only	hippocampus	AA	expression	nearest_gene_window_250kb
