term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	estimate_scale	cohort	tissue	modality	population	run_tag
(Intercept)	0.0362723312434656	1.40457692518694	-2.3613516594036	0.0182084549971321	0.00218568728948485	0.540053437932723	burden_fdr10_category	odds_ratio	BA_only	hippocampus	expression	AA	nearest_gene_window_250kb
h2_categoryNon-heritable	0.364935742217578	0.218573991916503	-4.61186612724756	3.99069990910131e-06	0.234127530899842	0.553206322621762	burden_fdr10_category	odds_ratio	BA_only	hippocampus	expression	AA	nearest_gene_window_250kb
h2_categoryLow prediction	9.17177682558042	0.910480923399199	2.4340224771349	0.0149320678069939	1.45868711032284	54.0343453479873	burden_fdr10_category	odds_ratio	BA_only	hippocampus	expression	AA	nearest_gene_window_250kb
log_vmr_length	1.24321439209598	0.110810559507704	1.96461671329149	0.0494586160850854	1.00109080222968	1.54591562693209	burden_fdr10_category	odds_ratio	BA_only	hippocampus	expression	AA	nearest_gene_window_250kb
log_num_snps	0.668926420066073	0.183895345520842	-2.18646757326808	0.028781414560445	0.469762648730411	0.966190970238604	burden_fdr10_category	odds_ratio	BA_only	hippocampus	expression	AA	nearest_gene_window_250kb
methylation_variance	2624434670.17324	9.49567153933779	2.28400184823209	0.0223714223238658	7.31979555593481	140553566680263000	burden_fdr10_category	odds_ratio	BA_only	hippocampus	expression	AA	nearest_gene_window_250kb
log_min_distance	0.923862084634119	0.0327623253907058	-2.41718121623759	0.0156412279406636	0.862914267701221	0.981618336999594	burden_fdr10_category	odds_ratio	BA_only	hippocampus	expression	AA	nearest_gene_window_250kb
chromatin_stateGenic/other	0.726643660653679	0.449830292308424	-0.709865648177047	0.477787454482503	0.323188987088781	1.9446751847797	burden_fdr10_category	odds_ratio	BA_only	hippocampus	expression	AA	nearest_gene_window_250kb
chromatin_stateIntergenic	1.04785787483685	0.581487324196195	0.0803937749686077	0.935924077736506	0.341427628995634	3.45642871661607	burden_fdr10_category	odds_ratio	BA_only	hippocampus	expression	AA	nearest_gene_window_250kb
chromatin_statePromoter	3.25540147602171	0.434379113307899	2.71724761440289	0.00658273391646526	1.5059761405258	8.5164655842984	burden_fdr10_category	odds_ratio	BA_only	hippocampus	expression	AA	nearest_gene_window_250kb
(Intercept)	-1.60807295525962	0.252725387865004	-6.36292605521131	2.08450612801386e-10	-2.1034779788007	-1.11266793171854	strength_category	log_abs_beta	BA_only	hippocampus	expression	AA	nearest_gene_window_250kb
h2_categoryNon-heritable	0.0310831591051953	0.0316175211688882	0.983099179064716	0.325587332187763	-0.030895097022165	0.0930614152325557	strength_category	log_abs_beta	BA_only	hippocampus	expression	AA	nearest_gene_window_250kb
h2_categoryLow prediction	2.05528434645453	0.444190431551917	4.62703426382634	3.76573100075614e-06	1.18455990891901	2.92600878399004	strength_category	log_abs_beta	BA_only	hippocampus	expression	AA	nearest_gene_window_250kb
log_vmr_length	-0.0588547343294481	0.0194499372687771	-3.02596011062346	0.00248605680050895	-0.0969814801697117	-0.0207279884891845	strength_category	log_abs_beta	BA_only	hippocampus	expression	AA	nearest_gene_window_250kb
log_num_snps	0.130639155166811	0.0334936121422958	3.90042001477171	9.67848572532059e-05	0.0649832911002652	0.196295019233358	strength_category	log_abs_beta	BA_only	hippocampus	expression	AA	nearest_gene_window_250kb
methylation_variance	-4.17214069842956	2.64392280784062	-1.57801153878508	0.114601131872633	-9.35489124013112	1.01060984327199	strength_category	log_abs_beta	BA_only	hippocampus	expression	AA	nearest_gene_window_250kb
log_min_distance	-0.0762995208274346	0.00472696810167611	-16.1413233993223	9.86907343700374e-58	-0.0855655615820724	-0.0670334800727967	strength_category	log_abs_beta	BA_only	hippocampus	expression	AA	nearest_gene_window_250kb
chromatin_stateGenic/other	-0.231778437155733	0.0626239926548753	-3.70111242240778	0.000216048016477973	-0.354537139071335	-0.10901973524013	strength_category	log_abs_beta	BA_only	hippocampus	expression	AA	nearest_gene_window_250kb
chromatin_stateIntergenic	-0.132560745676055	0.0762722043745457	-1.73799546981881	0.0822487618580031	-0.282073359042329	0.0169518676902186	strength_category	log_abs_beta	BA_only	hippocampus	expression	AA	nearest_gene_window_250kb
chromatin_statePromoter	-0.0400096106949921	0.0671570503555874	-0.595761881785259	0.551350583863839	-0.171654240438842	0.0916350190488579	strength_category	log_abs_beta	BA_only	hippocampus	expression	AA	nearest_gene_window_250kb
(Intercept)	0.0421885739420198	1.44638550879105	-2.18863216965987	0.0286235856872166	0.00233419767449068	0.678759451831572	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	BA_only	hippocampus	expression	AA	nearest_gene_window_250kb
h2_scaled	1.53142793537377	0.04976749389048	8.56383470284593	1.09174326076791e-17	1.38614174224889	1.68580558940619	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	BA_only	hippocampus	expression	AA	nearest_gene_window_250kb
log_vmr_length	1.09839005803657	0.11407985049396	0.822630146429853	0.410718349880241	0.878616912462294	1.37430693171017	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	BA_only	hippocampus	expression	AA	nearest_gene_window_250kb
log_num_snps	0.645819259958519	0.195789887957494	-2.23318784362891	0.0255365596392928	0.44319159722593	0.954629676587753	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	BA_only	hippocampus	expression	AA	nearest_gene_window_250kb
methylation_variance	83286183.4803764	9.67831345381071	1.88439786702897	0.0595111781463302	0.138169969556823	5588473726688350	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	BA_only	hippocampus	expression	AA	nearest_gene_window_250kb
log_min_distance	0.89743624659907	0.0350745756820514	-3.08523178024215	0.00203393582783469	0.834104433746519	0.957503461004762	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	BA_only	hippocampus	expression	AA	nearest_gene_window_250kb
chromatin_stateGenic/other	0.540340878239401	0.454623218240009	-1.353989540979	0.175739714550769	0.237454256894645	1.45632248595557	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	BA_only	hippocampus	expression	AA	nearest_gene_window_250kb
chromatin_stateIntergenic	0.821680441629145	0.60430352181083	-0.325008393241247	0.745174719364212	0.254096557826011	2.81569350102973	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	BA_only	hippocampus	expression	AA	nearest_gene_window_250kb
chromatin_statePromoter	2.87981175009268	0.435618748211412	2.42809780755124	0.0151782493685393	1.32764805409587	7.54615802867296	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	BA_only	hippocampus	expression	AA	nearest_gene_window_250kb
