cohort	tissue	population	vmr_set	modality	run_tag	h2_category	n_vmrs	n_any_fdr05	n_any_fdr10	prop_any_fdr05	prop_any_fdr10	median_max_abs_beta	median_pairs_tested
all_individuals	dlpfc	EA	shared	expression	abc	Heritable	25	1	2	0.04	0.08	0.242181520807193	1
all_individuals	dlpfc	EA	shared	expression	abc	Non-heritable	4	0	0	0	0	0.123957607461712	1
