term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	estimate_scale	cohort	tissue	modality	population	vmr_set	run_tag
(Intercept)	0.0973941806164532	0.742565561988146	-3.13640833429885	0.00171030892617009	0.0225095608469919	0.413872713430865	burden_fdr10_category	odds_ratio	all_individuals	caudate	expression	EA	shared	nearest_gene_window_250kb
h2_categoryNon-heritable	0.501572827813662	0.0998581279033014	-6.90986779588235	4.85105576073408e-12	0.41204890830502	0.609579647546521	burden_fdr10_category	odds_ratio	all_individuals	caudate	expression	EA	shared	nearest_gene_window_250kb
h2_categoryLow prediction	0.386838880297839	0.460054537315661	-2.06442264033107	0.038977661688694	0.145991993590124	0.905882715867066	burden_fdr10_category	odds_ratio	all_individuals	caudate	expression	EA	shared	nearest_gene_window_250kb
log_vmr_length	1.37797523205439	0.0545338211256196	5.87919921942896	4.12255967907506e-09	1.23864706732813	1.53394710222905	burden_fdr10_category	odds_ratio	all_individuals	caudate	expression	EA	shared	nearest_gene_window_250kb
log_num_snps	0.774888420210215	0.101211085051664	-2.51984487456239	0.011740656355043	0.636103022568834	0.946012940659647	burden_fdr10_category	odds_ratio	all_individuals	caudate	expression	EA	shared	nearest_gene_window_250kb
methylation_variance	2.88556994080946e-08	10.7736901624076	-1.61142171796812	0.107087836764208	8.66738907179419e-18	20.2197236642775	burden_fdr10_category	odds_ratio	all_individuals	caudate	expression	EA	shared	nearest_gene_window_250kb
log_min_distance	0.941580893857591	0.0149417423790207	-4.02864758742933	5.60986384330953e-05	0.913739563541237	0.96890511340093	burden_fdr10_category	odds_ratio	all_individuals	caudate	expression	EA	shared	nearest_gene_window_250kb
chromatin_stateGenic/other	0.858099336538578	0.193058742112535	-0.79268831688079	0.427959438813149	0.59516970280893	1.27128587999096	burden_fdr10_category	odds_ratio	all_individuals	caudate	expression	EA	shared	nearest_gene_window_250kb
chromatin_stateIntergenic	0.557929407863782	0.257664813625355	-2.26465859112966	0.0235336384201749	0.337877221422838	0.929995011823242	burden_fdr10_category	odds_ratio	all_individuals	caudate	expression	EA	shared	nearest_gene_window_250kb
chromatin_statePromoter	1.52874738291562	0.197130467539992	2.15313594800046	0.0313079957877516	1.05120427403564	2.28147588601498	burden_fdr10_category	odds_ratio	all_individuals	caudate	expression	EA	shared	nearest_gene_window_250kb
(Intercept)	-1.58789487380875	0.321495359375174	-4.93909111750421	8.05866199494946e-07	-2.21813974637871	-0.957650001238787	strength_category	log_abs_beta	all_individuals	caudate	expression	EA	shared	nearest_gene_window_250kb
h2_categoryNon-heritable	0.0395410489255919	0.0426058853409734	0.928065421224	0.353410499859407	-0.0439815898759111	0.123063687727095	strength_category	log_abs_beta	all_individuals	caudate	expression	EA	shared	nearest_gene_window_250kb
h2_categoryLow prediction	0.514931986901359	0.201813693842967	2.55152153997058	0.0107496482346416	0.119305605213824	0.910558368588893	strength_category	log_abs_beta	all_individuals	caudate	expression	EA	shared	nearest_gene_window_250kb
log_vmr_length	0.0170405477423906	0.0237324672067189	0.718026810864663	0.472768362119422	-0.0294835010013883	0.0635645964861694	strength_category	log_abs_beta	all_individuals	caudate	expression	EA	shared	nearest_gene_window_250kb
log_num_snps	-0.0335418535480797	0.0439561276983667	-0.763075714454392	0.445447867529771	-0.119711446022966	0.052627738926807	strength_category	log_abs_beta	all_individuals	caudate	expression	EA	shared	nearest_gene_window_250kb
methylation_variance	-10.1894023135849	4.79604276499293	-2.1245436733715	0.0336649700035454	-19.5913463016338	-0.787458325535985	strength_category	log_abs_beta	all_individuals	caudate	expression	EA	shared	nearest_gene_window_250kb
log_min_distance	-0.0798228023331336	0.00581007054422385	-13.7386976157269	2.54191801650929e-42	-0.0912126002352976	-0.0684330044309695	strength_category	log_abs_beta	all_individuals	caudate	expression	EA	shared	nearest_gene_window_250kb
chromatin_stateGenic/other	-0.120085018333886	0.081684252580837	-1.47011222530373	0.141583140206808	-0.28021510997451	0.0400450733067382	strength_category	log_abs_beta	all_individuals	caudate	expression	EA	shared	nearest_gene_window_250kb
chromatin_stateIntergenic	-0.189517873018585	0.0968708646179429	-1.95639704224836	0.0504641448085721	-0.379419107815667	0.000383361778496905	strength_category	log_abs_beta	all_individuals	caudate	expression	EA	shared	nearest_gene_window_250kb
