env	term	statistic	p_value	location_shift	ci_lo	ci_hi	median_neg_log10p_heritable	median_neg_log10p_nonheritable	n_heritable_features	n_nonheritable_features	fdr	cohort	tissue	population	vmr_set	modality	run_tag
smoking	env_valueTRUE	102428.5	0.987230053678161	-0.000271279259115439	-0.0354054474080587	0.0334800652262907	0.32940885482192	0.316525058103233	468	438	0.987230053678161	all_individuals	dlpfc	AA	AA_only	psi	window_250kb
codeine	env_valueTRUE	96099	0.893427344290701	0.00125578153038509	-0.0195106292154722	0.0224595468551798	0.186106144329524	0.176098617758426	452	423	0.985874617286368	all_individuals	dlpfc	AA	AA_only	psi	window_250kb
morphine	env_valueTRUE	95771.5	0.568415734711529	0.00466626514098719	-0.0120465188923619	0.0221552209348775	0.151264298394762	0.144204624789287	445	421	0.738940455124987	all_individuals	dlpfc	AA	AA_only	psi	window_250kb
cocaine	env_valueTRUE	75682.5	0.192951871722951	0.00934022286728671	-0.00474054644107718	0.0253739054492153	0.118346626598522	0.105259859571424	402	357	0.517454024209156	all_individuals	dlpfc	AA	AA_only	psi	window_250kb
ethanol	env_valueTRUE	107320	0.00603870091691654	0.0355399226492452	0.00979034301542203	0.0633440535244917	0.240542763081826	0.194450910024746	452	429	0.0734395035978719	all_individuals	dlpfc	AA	AA_only	psi	window_250kb
nicotine	env_valueTRUE	99360.5	0.393410345210431	-0.0133988541206292	-0.0451027346465498	0.0167405279766716	0.273222346243047	0.28414432619684	468	439	0.63929181096695	all_individuals	dlpfc	AA	AA_only	psi	window_250kb
amphetamines	env_valueTRUE	81199.5	0.273832517590917	-0.0127655994488982	-0.0377957097841611	0.0100069364682475	0.199529107836505	0.222471390341437	429	396	0.517454024209156	all_individuals	dlpfc	AA	AA_only	psi	window_250kb
any_trauma_hx	env_value	78710	0.169171071784785	-0.0203951275406261	-0.05161457770773	0.0079119487327019	0.274067002371105	0.32341057532477	422	395	0.517454024209156	all_individuals	dlpfc	AA	AA_only	psi	window_250kb
education	env_valueless_than_hs	97426	0.535072528106523	-0.00779257616997716	-0.0349033610845055	0.0177133214534972	0.229571065547975	0.241435835591354	460	434	0.738940455124987	all_individuals	dlpfc	AA	AA_only	psi	window_250kb
education	env_valueMD	83503.5	0.217179761062988	0.0096610283085948	-0.00521777495642948	0.0272600980963689	0.129393252162664	0.115179772565692	414	384	0.517454024209156	all_individuals	dlpfc	AA	AA_only	psi	window_250kb
education	env_valuemore_than_hs	100256.5	0.91003810826434	0.00295570243134375	-0.0496501884703565	0.0551749266467314	0.536122471645253	0.509635148884306	460	434	0.985874617286368	all_individuals	dlpfc	AA	AA_only	psi	window_250kb
marital_status	env_valuepreviously_married	105274	0.0112983851689034	0.0354782207292985	0.00719063382285044	0.0658884719712503	0.266048517380254	0.205875131122763	454	422	0.0734395035978719	all_individuals	dlpfc	AA	AA_only	psi	window_250kb
marital_status	env_valuesingle	91739.5	0.278629089958776	-0.0320928611622434	-0.0977320531514469	0.0262138891395406	0.478331347593653	0.565777053849534	454	422	0.517454024209156	all_individuals	dlpfc	AA	AA_only	psi	window_250kb
