sample_size	power	type1_error	n_tested	method
100	0.476	0.072	1000	elastic-net
150	0.516	0.09466666666666666	1000	elastic-net
200	0.612	0.14666666666666667	1000	elastic-net
250	0.7389558232931727	0.33022636484687085	1000	elastic-net
500	0.944	0.8706666666666667	1000	elastic-net
1000	0.8755020080321285	0.8322237017310253	1000	elastic-net
5000	0.344	0.06266666666666666	1000	elastic-net
100	0.0	0.0	1000	gcta
150	0.0	0.0	1000	gcta
200	0.0	0.0	1000	gcta
250	0.0	0.0	1000	gcta
500	0.0	0.0	1000	gcta
1000	0.00554016620498615	0.005952380952380952	1000	gcta
5000	0.0440771349862259	0.02386634844868735	1000	gcta
