env	term	statistic	p_value	location_shift	ci_lo	ci_hi	median_vmr_score_heritable	median_vmr_score_nonheritable	n_heritable_vmrs	n_nonheritable_vmrs	fdr	cohort	tissue	population	vmr_set	modality	run_tag
smoking	env_valueTRUE	39845	0.393453356673168	-0.0224741811873553	-0.0819980259869232	0.0293445814561425	0.332909643115562	0.397430093445646	624	134	0.901932626359948	all_individuals	dlpfc	EA	shared	psi	window_250kb
codeine	env_valueTRUE	40804	0.943806181597724	-0.000576569844598538	-0.0255347390223925	0.0252277734236725	0.153921930005834	0.156625939359129	616	133	0.943806181597724	all_individuals	dlpfc	EA	shared	psi	window_250kb
morphine	env_valueTRUE	37904.5	0.266771051453857	-0.0103216266298096	-0.0327833454915611	0.00770936786123477	0.0944753551711886	0.122776160113908	612	132	0.867005917225037	all_individuals	dlpfc	EA	shared	psi	window_250kb
cocaine	env_valueTRUE	35855	0.172106997028948	0.0100023538892208	-0.00404414245319795	0.0266776790618693	0.0885132347904754	0.0770761874534516	582	114	0.745796987125443	all_individuals	dlpfc	EA	shared	psi	window_250kb
ethanol	env_valueTRUE	42708.5	0.450740842579512	0.0105463994707001	-0.017917647953861	0.0394695878798687	0.17365307111728	0.161441670278524	612	134	0.901932626359948	all_individuals	dlpfc	EA	shared	psi	window_250kb
nicotine	env_valueTRUE	37845	0.0848796537127724	-0.0431999318172571	-0.101747767181323	0.00504674800618614	0.28194998326479	0.408259147145081	624	134	0.551717749133021	all_individuals	dlpfc	EA	shared	psi	window_250kb
amphetamines	env_valueTRUE	36722	0.942045829165602	-0.000775498283182507	-0.0307579236843796	0.0315223246964921	0.207163912352603	0.204899817666759	590	125	0.943806181597724	all_individuals	dlpfc	EA	shared	psi	window_250kb
any_trauma_hx	env_value	37316	0.663284273947984	0.0084027817684936	-0.0322806245353232	0.0527992458467321	0.304812892721884	0.279879651654778	592	123	0.910647688713049	all_individuals	dlpfc	EA	shared	psi	window_250kb
education	env_valueless_than_hs	35720	0.0109148611080674	-0.0541204306714624	-0.102137920523646	-0.00978182070237462	0.209542137501979	0.270722357921553	620	134	0.141893194404876	all_individuals	dlpfc	EA	shared	psi	window_250kb
education	env_valueMD	35185.5	0.502232136074954	-0.00560767293791689	-0.0262749901729179	0.0127244283309751	0.102808602677931	0.122567583629801	576	127	0.901932626359948	all_individuals	dlpfc	EA	shared	psi	window_250kb
education	env_valuemore_than_hs	41126.5	0.856647393040344	-0.00515853831335772	-0.0781722279467163	0.0681224104896168	0.622649507481399	0.602318787420589	620	134	0.943806181597724	all_individuals	dlpfc	EA	shared	psi	window_250kb
marital_status	env_valuepreviously_married	40145	0.700498222086961	0.00557348087716902	-0.0243166394837284	0.0382889668000561	0.219340931775429	0.156540932272447	614	128	0.910647688713049	all_individuals	dlpfc	EA	shared	psi	window_250kb
marital_status	env_valuesingle	40598.5	0.555035462375352	0.0281236052877149	-0.0786849477210833	0.139238714957707	0.759764791275034	0.62640233526081	614	128	0.901932626359948	all_individuals	dlpfc	EA	shared	psi	window_250kb
