term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	estimate_scale	cohort	tissue	modality	population	vmr_set	run_tag
(Intercept)	0.0277830932821354	1.39116373283441	-2.57577703762091	0.010001511605525	0.0017086331180704	0.401876392791921	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	expression	EA	shared	nearest_gene_window_250kb
h2_categoryNon-heritable	0.44495643043741	0.374362983943549	-2.16308488143912	0.0305346516999272	0.196807882767298	0.870224388732623	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	expression	EA	shared	nearest_gene_window_250kb
h2_categoryLow prediction	3.91152577603897	0.805708047258042	1.6928309535597	0.09048764899632	0.794266448182473	19.1564648662329	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	expression	EA	shared	nearest_gene_window_250kb
log_vmr_length	1.39180223053129	0.106747878760416	3.09701213635124	0.00195481870508211	1.13040116425133	1.71821780762119	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	expression	EA	shared	nearest_gene_window_250kb
log_num_snps	0.612466853175973	0.196781823358321	-2.49139095737845	0.0127244018631198	0.420178091492375	0.909484978237383	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	expression	EA	shared	nearest_gene_window_250kb
methylation_variance	347816017781.494	10.3188530327019	2.57537726413608	0.0100130803608031	238.994642548129	1.08424761729274e+20	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	expression	EA	shared	nearest_gene_window_250kb
log_min_distance	0.975614007917476	0.0267641057219141	-0.922438983800653	0.356299643263919	0.923783118804623	1.02624693748543	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	expression	EA	shared	nearest_gene_window_250kb
chromatin_stateGenic/other	0.913893035350985	0.484727493565442	-0.185757450790746	0.852634973056478	0.386655905452702	2.6908212160802	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	expression	EA	shared	nearest_gene_window_250kb
chromatin_stateIntergenic	1.00659583804676	0.556114526067426	0.0118216309392481	0.990567922880878	0.357969552159551	3.30198576491068	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	expression	EA	shared	nearest_gene_window_250kb
chromatin_statePromoter	3.61013425324293	0.474945443707159	2.70293141649504	0.00687309263887173	1.56586532199753	10.480533479418	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	expression	EA	shared	nearest_gene_window_250kb
