region	reference_name	broad_class	n	rho	p_value	fdr
dlpfc	Lee	Astrocyte	164	0.0556826683715805	0.478832538736456	0.820855780691067
dlpfc	Tian	Astrocyte	164	-0.00510385918136928	0.948284057054173	0.954286744792757
dlpfc	Lee	Microglia	164	0.484714579702248	4.80558889525966e-11	3.84447111620773e-10
dlpfc	Tian	Microglia	164	0.303798373280932	7.66499285151735e-05	0.000459899571091041
dlpfc	Lee	OPC	164	-0.232738649894858	0.00270862238438671	0.0130013874450562
dlpfc	Tian	OPC	164	-0.0347694551154283	0.658493396710615	0.954286744792757
dlpfc	Lee	Oligodendrocyte	164	-0.00451076680315046	0.954286744792757	0.954286744792757
dlpfc	Tian	Oligodendrocyte	164	0.0150531198563519	0.848282461436076	0.954286744792757
dlpfc	Lee	Total_neuron	164	-0.0327425081278141	0.677254065107036	0.954286744792757
dlpfc	Tian	Total_neuron	164	-0.0241644335015575	0.758741663090627	0.954286744792757
dlpfc	Lee	Vascular_exploratory	164	0.0269721001727586	0.731724989065105	0.954286744792757
dlpfc	Tian	Vascular_exploratory	164	-0.0147865003468774	0.850938193697781	0.954286744792757
hippocampus	Lee	Astrocyte	175	0.109641737572772	0.148629942477444	0.396346513273183
hippocampus	Tian	Astrocyte	175	0.0597939991043439	0.431846843580026	0.820855780691067
hippocampus	Lee	Microglia	175	0.608018450759678	4.52781897536312e-19	1.08667655408715e-17
hippocampus	Tian	Microglia	175	0.532538429706794	3.31882081359672e-14	3.98258497631606e-13
hippocampus	Lee	OPC	175	-0.0319843829882691	0.674347437931066	0.954286744792757
hippocampus	Tian	OPC	175	0.00596248412803056	0.937580124001627	0.954286744792757
hippocampus	Lee	Oligodendrocyte	175	0.0564711150918047	0.45791673916995	0.820855780691067
hippocampus	Tian	Oligodendrocyte	175	0.0928280340349306	0.22176846850346	0.532244324408305
hippocampus	Lee	Total_neuron	175	-0.0821764442454098	0.279638725920031	0.610120856552795
hippocampus	Tian	Total_neuron	175	-0.149442454097627	0.0483966604378538	0.193586641751415
hippocampus	Lee	Vascular_exploratory	175	0.114178672313516	0.132441848212897	0.396346513273183
hippocampus	Tian	Vascular_exploratory	175	0.125847310449962	0.0970197146481742	0.332639021650883
