sample_id	cell_type	proportion
Br1992	D2-SPN	0.0159396971434348
Br1992	OPC	0.0289480695043283
Br1992	Inhib	0.00637930422609458
Br1992	Immune	0.00728663515031695
Br2304	Oligo	0.422033573196708
Br2304	Micro	0.0399176773241941
Br2304	Astro	0.394002434165899
Br2304	D1-SPN	0.0615937146593568
Br2304	D2-SPN	0.023062491076673
Br2304	OPC	0.0554250391953543
Br2304	Inhib	0
Br2304	Immune	0.00396507038181418
Br1987	Oligo	0.512333802341
Br1987	Micro	0.114183537177789
Br1987	Astro	0.197952726183711
Br1987	D1-SPN	0.0598509991078323
Br1987	D2-SPN	0.0804922324227164
Br1987	OPC	0.0298174290147052
Br1987	Inhib	0
Br1987	Immune	0.00536927375224546
Br2285	Oligo	0.519087861939136
Br2285	Micro	0.111075262741384
Br2285	Astro	0.180850862053957
Br2285	D1-SPN	0.0774483739473762
Br2285	D2-SPN	0.0893575634533416
Br2285	OPC	0.0137967630725883
Br2285	Inhib	0
Br2285	Immune	0.00838331279221656
Br1946	Oligo	0.259998886102109
Br1946	Micro	0.0698987858387857
Br1946	Astro	0.260717150826443
Br1946	D1-SPN	0.0907800914903521
Br1946	D2-SPN	0.267130515609909
Br1946	OPC	0.048393151048658
Br1946	Inhib	0
Br1946	Immune	0.00308141908374352
Br869	Oligo	0.595342743763037
Br869	Micro	0.0442260609174138
Br869	Astro	0.198297093615982
Br869	D1-SPN	0.0524756088828846
Br869	D2-SPN	0.0761378193399041
Br869	OPC	0.0335206734807788
Br869	Inhib	0
Br869	Immune	0
Br1568	Oligo	0.590150823209467
Br1568	Micro	0.0642582179235311
Br1568	Astro	0.158809219887799
Br1568	D1-SPN	0.0819909806263267
Br1568	D2-SPN	0.0777819404420669
Br1568	OPC	0.0189670044711628
Br1568	Inhib	2.86181687375913e-05
Br1568	Immune	0.00801319527090974
Br5359	Oligo	0.584907707777922
Br5359	Micro	0.0950245924299592
Br5359	Astro	0.216828713412537
Br5359	D1-SPN	0.00185469785545213
Br5359	D2-SPN	0.0835595771516871
Br5359	OPC	0.00878625684345221
Br5359	Inhib	0
Br5359	Immune	0.00903845452899061
Br1093	Oligo	0.573473478392277
Br1093	Micro	0.0847549260931892
Br1093	Astro	0.207632270910649
Br1093	D1-SPN	0.0232282336697735
Br1093	D2-SPN	0.0722162578365312
Br1093	OPC	0.0309180102741832
Br1093	Inhib	0
Br1093	Immune	0.00777682282339679
Br948	Oligo	0.799873312139142
Br948	Micro	0.0485035125975383
Br948	Astro	0.0922744635817541
Br948	D1-SPN	0.00134651202914803
Br948	D2-SPN	0.0450289783897137
Br948	OPC	0.00913318006884574
Br948	Inhib	0
Br948	Immune	0.00384004119385836
Br2291	Oligo	0.467748145561848
Br2291	Micro	0.0521319494469398
Br2291	Astro	0.364868380172451
Br2291	D1-SPN	0.0284260635925284
Br2291	D2-SPN	0
Br2291	OPC	0.0829849053672073
Br2291	Inhib	0
Br2291	Immune	0.00384055585902566
Br1651	Oligo	0.571150377126259
Br1651	Micro	0.122733472668784
Br1651	Astro	0.15490540470379
Br1651	D1-SPN	0.0525901041801109
Br1651	D2-SPN	0.0628548434106089
Br1651	OPC	0.034322788289965
Br1651	Inhib	0
Br1651	Immune	0.00144300962048145
Br1558	Oligo	0.717691417825265
Br1558	Micro	0.0330906870381168
Br1558	Astro	0.21483576229685
Br1558	D1-SPN	0.000701412139171616
Br1558	D2-SPN	0.00208359784150875
Br1558	OPC	0.0288721189734213
Br1558	Inhib	0.000875297475875867
Br1558	Immune	0.00184970640979031
Br1280	Oligo	0.673984834121233
Br1280	Micro	0.0343194644639895
Br1280	Astro	0.176269985845979
Br1280	D1-SPN	0.00402429715293092
Br1280	D2-SPN	0.0815270099941482
Br1280	OPC	0.0272590522351749
Br1280	Inhib	0
Br1280	Immune	0.00261535618654384
Br1995	Oligo	0.680744086112177
Br1995	Micro	0.0759334411958949
Br1995	Astro	0.115904316314267
Br1995	D1-SPN	0.00973183014220748
Br1995	D2-SPN	0.101613660422795
Br1995	OPC	0.0125659912113458
Br1995	Inhib	0
Br1995	Immune	0.00350667460131339
Br836	Oligo	0.540133058603917
Br836	Micro	0.129439207289821
Br836	Astro	0.178959471161793
Br836	D1-SPN	0.0549808425449504
Br836	D2-SPN	0.0628004750512508
Br836	OPC	0.0222042480107056
Br836	Inhib	6.74078029988111e-06
Br836	Immune	0.0114759565572624
Br2083	Oligo	0.519379049957323
Br2083	Micro	0.0851421207761477
Br2083	Astro	0.199193064821076
Br2083	D1-SPN	0.0518720031975178
Br2083	D2-SPN	0.108892218270862
Br2083	OPC	0.025785301646164
Br2083	Inhib	0
Br2083	Immune	0.00973624133091056
Br894	Oligo	0.517218179657385
Br894	Micro	0.0836490821706769
Br894	Astro	0.232087481146202
Br894	D1-SPN	0.0826784354128716
Br894	D2-SPN	0.0432657503708133
Br894	OPC	0.0310389679154546
Br894	Inhib	0
Br894	Immune	0.0100621033265971
Br1595	Oligo	0.563189986569667
Br1595	Micro	0.0257372873341616
Br1595	Astro	0.308435177120861
Br1595	D1-SPN	0.0354245582740316
Br1595	D2-SPN	0.00160454951125203
Br1595	OPC	0.0565523856839065
Br1595	Inhib	0
Br1595	Immune	0.00905605550612042
Br2573	Oligo	0.535502478611809
Br2573	Micro	0.130240491882016
Br2573	Astro	0.176336791689458
Br2573	D1-SPN	0.0579475463291246
Br2573	D2-SPN	0.0681641062007494
Br2573	OPC	0.0278901992526368
Br2573	Inhib	0
Br2573	Immune	0.00391838603420561
Br2385	Oligo	0.175939103589734
Br2385	Micro	0.146850351688548
Br2385	Astro	0.450720685771261
Br2385	D1-SPN	0.0443916359993798
Br2385	D2-SPN	0.0242155165737633
Br2385	OPC	0.148517686459363
Br2385	Inhib	0.000679733236794848
Br2385	Immune	0.0086852866811565
Br1644	Oligo	0.599009227019509
Br1644	Micro	0.0592528227470623
Br1644	Astro	0.18600444618929
Br1644	D1-SPN	0.0623726535874982
Br1644	D2-SPN	0.0656902114003019
Br1644	OPC	0.0240575216455324
Br1644	Inhib	1.89228742825967e-05
Br1644	Immune	0.00359419453652395
Br1504	Oligo	0.609102970063456
Br1504	Micro	0.0843997224327683
Br1504	Astro	0.173956008316607
Br1504	D1-SPN	0.0232407762514896
Br1504	D2-SPN	0.0735394004736678
Br1504	OPC	0.0311697362490089
Br1504	Inhib	1.20263265192404e-05
Br1504	Immune	0.00457935988648349
Br2295	Oligo	0.512855008971971
Br2295	Micro	0.0933689365011306
Br2295	Astro	0.222099219743229
Br2295	D1-SPN	0.0794801958814937
Br2295	D2-SPN	0.0648183808261661
Br2295	OPC	0.0172369600877886
Br2295	Inhib	0
Br2295	Immune	0.0101412979882214
Br1591	Oligo	0.49451253619159
Br1591	Micro	0.113629564128747
Br1591	Astro	0.237361915975513
Br1591	D1-SPN	0.0613593681789413
Br1591	D2-SPN	0.055820729611952
Br1591	OPC	0.0303697576125436
Br1591	Inhib	0
Br1591	Immune	0.0069461283007136
Br1378	Oligo	0.715297297553595
Br1378	Micro	0.0831206321212426
Br1378	Astro	0.143871939342083
Br1378	D1-SPN	0.00127375010709566
Br1378	D2-SPN	0.0263773941958511
Br1378	OPC	0.0259658879038488
Br1378	Inhib	0
Br1378	Immune	0.00409309877628367
Br1040	Oligo	0.440282488560479
Br1040	Micro	0.150749087285875
Br1040	Astro	0.207902534565377
Br1040	D1-SPN	0.0651976422916095
Br1040	D2-SPN	0.111698834649725
Br1040	OPC	0.0195660329713062
Br1040	Inhib	3.11931447051194e-05
Br1040	Immune	0.00457218653092347
Br2533	Oligo	0.57504465382378
Br2533	Micro	0.130610400711951
Br2533	Astro	0.170736882663878
Br2533	D1-SPN	0.0375784928887752
Br2533	D2-SPN	0.066761255459123
Br2533	OPC	0.0172007116164011
Br2533	Inhib	0
Br2533	Immune	0.00206760283609156
Br1554	Oligo	0.6228448294231
Br1554	Micro	0.046924222007074
Br1554	Astro	0.174829190803567
Br1554	D1-SPN	0.0674430469577526
Br1554	D2-SPN	0.0517164741318543
Br1554	OPC	0.0184442459202122
Br1554	Inhib	0
Br1554	Immune	0.0177979907564396
Br5024	Oligo	0.645386606381772
Br5024	Micro	0.00966093240768932
Br5024	Astro	0.167980847894205
Br5024	D1-SPN	0.0241751547321772
Br5024	D2-SPN	0.0230442170478931
Br5024	OPC	0.122832020894385
Br5024	Inhib	0.000156438456735034
Br5024	Immune	0.00676378218514418
Br1060	Oligo	0.6221981727444
Br1060	Micro	0.0653775555582024
Br1060	Astro	0.18675867047329
Br1060	D1-SPN	0.0115746426734739
Br1060	D2-SPN	0.0839589685036802
Br1060	OPC	0.0268039955550459
Br1060	Inhib	0
Br1060	Immune	0.00332799449190844
Br5422	Oligo	0.406370478131041
Br5422	Micro	0.0969428468203336
Br5422	Astro	0.324907622965386
Br5422	D1-SPN	0.0597488322604043
Br5422	D2-SPN	0.0663749953780729
Br5422	OPC	0.0420768192934509
Br5422	Inhib	0
Br5422	Immune	0.00357840515131111
Br1507	Oligo	0.602067130273241
Br1507	Micro	0.125305204390242
Br1507	Astro	0.139022350781511
Br1507	D1-SPN	0.00199382265551702
Br1507	D2-SPN	0.111380806807062
Br1507	OPC	0.0191635018324177
Br1507	Inhib	0
Br1507	Immune	0.00106718326001011
Br1756	Oligo	0.662576736950482
Br1756	Micro	0.0729071514799883
Br1756	Astro	0.116460931069357
Br1756	D1-SPN	0.0421410626124851
Br1756	D2-SPN	0.0832375502118262
Br1756	OPC	0.0188508463218929
Br1756	Inhib	0
Br1756	Immune	0.00382572135396827
Br1287	Oligo	0.537478159281269
Br1287	Micro	0.0324439744744964
Br1287	Astro	0.377453513408231
Br1287	D1-SPN	0.00497648465331221
Br1287	D2-SPN	0
Br1287	OPC	0.0442547235192108
Br1287	Inhib	0
Br1287	Immune	0.0033931446634807
Br2585	Oligo	0.57714015221281
Br2585	Micro	0.04565195056732
Br2585	Astro	0.142271691456231
Br2585	D1-SPN	0.0683512670782644
Br2585	D2-SPN	0.139482929364372
Br2585	OPC	0.0242942019901357
Br2585	Inhib	1.67351230146995e-05
Br2585	Immune	0.00279107220785239
Br1912	Oligo	0.710360406601293
Br1912	Micro	0.0221874259577092
Br1912	Astro	0.168469027970188
Br1912	D1-SPN	0.0317003259867846
Br1912	D2-SPN	0.0351576919245234
Br1912	OPC	0.0307267494529293
Br1912	Inhib	0
Br1912	Immune	0.00139837210657257
Br2287	Oligo	0.655491917504953
Br2287	Micro	0.131436148015564
Br2287	Astro	0.157637213949719
Br2287	D1-SPN	0.00569652879477455
Br2287	D2-SPN	0.0352300067592818
Br2287	OPC	0.0139708585229291
Br2287	Inhib	0
Br2287	Immune	0.00053732645277767
Br1003	Oligo	0.591594424528923
Br1003	Micro	0.116415470854568
Br1003	Astro	0.179012315254626
Br1003	D1-SPN	0.0184445063554868
Br1003	D2-SPN	0.0652566906062813
Br1003	OPC	0.0230755452628132
Br1003	Inhib	0
Br1003	Immune	0.00620104713730217
Br5417	Oligo	0.380785289635003
Br5417	Micro	0.0946398728580616
Br5417	Astro	0.308706963711494
Br5417	D1-SPN	0.0706216200262027
Br5417	D2-SPN	0.0596325613464626
Br5417	OPC	0.0793137318487782
Br5417	Inhib	0
Br5417	Immune	0.00629996057399734
Br847	Oligo	0.518777384084783
Br847	Micro	0.0382013353801198
Br847	Astro	0.360529974348719
Br847	D1-SPN	0.000198617511350834
Br847	D2-SPN	0
Br847	OPC	0.0716040366979353
Br847	Inhib	0
Br847	Immune	0.0106886519770924
Br2377	Oligo	0.773883778123605
Br2377	Micro	0.0652091460155366
Br2377	Astro	0.121524188701102
Br2377	D1-SPN	0
Br2377	D2-SPN	0.0170380045387983
Br2377	OPC	0.0166088354173765
Br2377	Inhib	0
Br2377	Immune	0.00573604720358151
Br1579	Oligo	0.473223998280489
Br1579	Micro	0.0962390989801419
Br1579	Astro	0.312191269579265
Br1579	D1-SPN	0.00354104009945894
Br1579	D2-SPN	0.0641200546859522
Br1579	OPC	0.0491361222615475
Br1579	Inhib	0
Br1579	Immune	0.00154841611314557
Br5212	Oligo	0.641067271981955
Br5212	Micro	0.105694807311117
Br5212	Astro	0.148879806232934
Br5212	D1-SPN	0.00830109352171727
Br5212	D2-SPN	0.0681301951553235
