sample_id	cell_type	proportion
Br1092	Oligo	0.218097671921329
Br1092	Excit	0.134077989976848
Br1092	Astro	0.391207859166853
Br1092	Inhib	0.054056980832736
Br1092	Micro	0.0841323101433639
Br1092	OPC	0.0258616909873306
Br1092	Mural	0.0921200033700782
Br1092	Immune	0.000445493601461333
Br1684	Oligo	0.402893557159151
Br1684	Excit	0.0839430080675652
Br1684	Astro	0.341900399821652
Br1684	Inhib	0.03077456232159
Br1684	Micro	0.0196320604605805
Br1684	OPC	0.019008928802956
Br1684	Mural	0.087154885932555
Br1684	Immune	0.0146925974339498
Br1227	Oligo	0.155452816931183
Br1227	Excit	0.231528988886447
Br1227	Astro	0.319696065937645
Br1227	Inhib	0.0601223158182578
Br1227	Micro	0.0361147738764219
Br1227	OPC	0.0265596501404521
Br1227	Mural	0.12557406414946
Br1227	Immune	0.0449513242601331
Br1531	Oligo	0.56422258760882
Br1531	Excit	0.0828939335096117
Br1531	Astro	0.204401636442357
Br1531	Inhib	0.0227053791127957
Br1531	Micro	0.044682760146702
Br1531	OPC	0.0196848916659367
Br1531	Mural	0.0535825931945063
Br1531	Immune	0.00782621831927107
Br1646	Oligo	0.311839480154608
Br1646	Excit	0.117363920378852
Br1646	Astro	0.370434575688695
Br1646	Inhib	0.0293513325183534
Br1646	Micro	0.0309741510780382
Br1646	OPC	0.0244030480976937
Br1646	Mural	0.0597199308056567
Br1646	Immune	0.0559135612781031
Br1137	Oligo	0.68912315885312
Br1137	Excit	0.0227057804985497
Br1137	Astro	0.18222417159112
Br1137	Inhib	0.0102052178853852
Br1137	Micro	0.021675419662856
Br1137	OPC	0.0357759487946003
Br1137	Mural	0.0382903027143692
Br1137	Immune	0
Br983	Oligo	0.370075417959116
Br983	Excit	0.141301861669527
Br983	Astro	0.286949394570094
Br983	Inhib	0.0448710815811398
Br983	Micro	0.0312091255674959
Br983	OPC	0.0265580778957021
Br983	Mural	0.0712084378907912
Br983	Immune	0.0278266028661343
Br948	Oligo	0.361539835301958
Br948	Excit	0.138532526864922
Br948	Astro	0.32616508551346
Br948	Inhib	0.0510178610914136
Br948	Micro	0.0472457796751423
Br948	OPC	0.0167364623408225
Br948	Mural	0.0587624492122815
Br948	Immune	0
Br1936	Oligo	0.280972373337626
Br1936	Excit	0.123347856379517
Br1936	Astro	0.366693851467819
Br1936	Inhib	0.0584136659510098
Br1936	Micro	0.0270752190680743
Br1936	OPC	0.0381701141763554
Br1936	Mural	0.0822612443526408
Br1936	Immune	0.0230656752669577
Br2534	Oligo	0.179888812704917
Br2534	Excit	0.267859876253772
Br2534	Astro	0.348443969595982
Br2534	Inhib	0.0470740121685613
Br2534	Micro	0.0313092805312969
Br2534	OPC	0.0373148927008704
Br2534	Mural	0.0862939900251944
Br2534	Immune	0.00181516601940673
Br1674	Oligo	0.216404075296601
Br1674	Excit	0.188673122975299
Br1674	Astro	0.348623201572372
Br1674	Inhib	0.0597208591771829
Br1674	Micro	0.0454416333807664
Br1674	OPC	0.0302496738944789
Br1674	Mural	0.0974880604112283
Br1674	Immune	0.0133993732920715
Br1203	Oligo	0.327022120887785
Br1203	Excit	0.173636078864943
Br1203	Astro	0.3177705908932
Br1203	Inhib	0.0440561383901527
Br1203	Micro	0.0407461497139043
Br1203	OPC	0.0277889715473445
Br1203	Mural	0.0500300663283493
Br1203	Immune	0.0189498833743215
Br1525	Oligo	0.139027759246929
Br1525	Excit	0.216182676564642
Br1525	Astro	0.387318376302552
Br1525	Inhib	0.0499928242580126
Br1525	Micro	0.0413811105075502
Br1525	OPC	0.0232726096535667
Br1525	Mural	0.109805860608972
Br1525	Immune	0.0330187828577756
Br1868	Oligo	0.568198168512484
Br1868	Excit	0.0746962350942103
Br1868	Astro	0.191112966677001
Br1868	Inhib	0.019131273416285
Br1868	Micro	0.0623209774358265
Br1868	OPC	0.0245573596427512
Br1868	Mural	0.0558833854473342
Br1868	Immune	0.00409963377410761
Br1473	Oligo	0.15261904157463
Br1473	Excit	0.21686371344972
Br1473	Astro	0.368338574865009
Br1473	Inhib	0.0663160458593711
Br1473	Micro	0.0404463391324811
Br1473	OPC	0.0294891506226778
Br1473	Mural	0.119719487034255
Br1473	Immune	0.00620764746185573
Br1865	Oligo	0.758345768870213
Br1865	Excit	0.000734329355813259
Br1865	Astro	0.122500487816715
Br1865	Inhib	0.00504389650250605
Br1865	Micro	0.065778632634934
Br1865	OPC	0.0162885437293018
Br1865	Mural	0.0313083410905174
Br1865	Immune	0
