sample_id	cell_type	proportion
Br1960	Oligo	0.319604212595375
Br1960	Micro	0.0370682680257135
Br1960	OPC	0
Br1960	Inhib	0.0183702270346924
Br1960	Astro	0.463984766202933
Br1960	Excit	0.160972526141286
Br1960	Immune	0
Br1960	Mural	0
Br959	Oligo	0.306277698552908
Br959	Micro	0.0853954709800927
Br959	OPC	0
Br959	Inhib	0.0272130149678601
Br959	Astro	0.456522793343436
Br959	Excit	0.124591022155703
Br959	Immune	0
Br959	Mural	0
Br1923	Oligo	0.232650636222431
Br1923	Micro	0.0309469031419685
Br1923	OPC	0
Br1923	Inhib	0.0576174489446006
Br1923	Astro	0.42804492896155
Br1923	Excit	0.229645086675271
Br1923	Immune	0
Br1923	Mural	0.0210949960541788
Br1443	Oligo	0.245080204406155
Br1443	Micro	0.102976883216993
Br1443	OPC	0
Br1443	Inhib	0.0311766615584253
Br1443	Astro	0.474770363529563
Br1443	Excit	0.145440415177295
Br1443	Immune	0
Br1443	Mural	0.000555472111568982
Br1407	Oligo	0.323489109232663
Br1407	Micro	0.045419573526001
Br1407	OPC	0
Br1407	Inhib	0.0114294559329864
Br1407	Astro	0.478898604215728
Br1407	Excit	0.128550839631649
Br1407	Immune	0.00086616171725901
Br1407	Mural	0.0113462557437132
Br1004	Oligo	0.148979232738405
Br1004	Micro	0.0493332530253186
Br1004	OPC	6.20027366418669e-05
Br1004	Inhib	0.0395088487887842
Br1004	Astro	0.48582442075389
Br1004	Excit	0.276081193850851
Br1004	Immune	0
Br1004	Mural	0.000211048106109051
Br5005	Oligo	0.43112909990619
Br5005	Micro	0.0963960196593675
Br5005	OPC	0.000119843028707658
Br5005	Inhib	0.00688002862657052
Br5005	Astro	0.379952614136051
Br5005	Excit	0.0779532427712746
Br5005	Immune	0
Br5005	Mural	0.0075691518718399
Br1524	Oligo	0.445517477830296
Br1524	Micro	0.102128625614074
Br1524	OPC	0.000134399635798797
Br1524	Inhib	0.00842003698040927
Br1524	Astro	0.376953099681911
Br1524	Excit	0.0666156744405583
Br1524	Immune	0
Br1524	Mural	0.000230685816951899
Br1053	Oligo	0.346635059953807
Br1053	Micro	0
Br1053	OPC	0
Br1053	Inhib	0.0033418295842798
Br1053	Astro	0.464537279864705
Br1053	Excit	0.178179698073104
Br1053	Immune	0
Br1053	Mural	0.00730613252410519
Br1794	Oligo	0.00371881867608915
Br1794	Micro	0.0743497108881767
Br1794	OPC	0.0162177536261105
Br1794	Inhib	0.213712258597447
Br1794	Astro	0.362594811426326
Br1794	Excit	0.244924308952881
