region	broad_class	variable	n	rho	p_value	fdr
caudate	Astrocyte	mean_marker_coverage	280	-0.017696018949224	0.76813942905479	0.864156857686639
caudate	Microglia	mean_marker_coverage	280	0.0759166128098324	0.205343606640264	0.462023114940593
caudate	Vascular_exploratory	mean_marker_coverage	280	-0.166263531914157	0.00528524438521334	0.0713507992003801
caudate	Oligodendrocyte	mean_marker_coverage	280	0.152890728319795	0.0104075412410363	0.0936678711693263
caudate	OPC	mean_marker_coverage	280	-0.115771967776414	0.0529803710297706	0.26008545778251
caudate	Total_neuron	mean_marker_coverage	280	-0.131651296342788	0.0276167079565275	0.213043175664641
dlpfc	Astrocyte	mean_marker_coverage	165	0.00869286458472471	0.911762993064667	0.946830800490231
dlpfc	Microglia	mean_marker_coverage	165	0.141084070205434	0.0706793159288987	0.272620218582895
dlpfc	Vascular_exploratory	mean_marker_coverage	165	-0.00507840675339941	0.948382758979866	0.953958228540935
dlpfc	Oligodendrocyte	mean_marker_coverage	165	0.0476317687601849	0.543496101914599	0.749989557670864
dlpfc	OPC	mean_marker_coverage	165	0.154315813797896	0.0478133270406512	0.26008545778251
dlpfc	Total_neuron	mean_marker_coverage	165	-0.143865038869447	0.065251219433761	0.271043526878699
hippocampus	Astrocyte	mean_marker_coverage	176	0.0643671582654634	0.396035623914876	0.648058293678888
hippocampus	Microglia	mean_marker_coverage	176	0.260387409200969	0.000482626057153519	0.00868726902876334
hippocampus	Vascular_exploratory	mean_marker_coverage	176	-0.0612436715826546	0.419402674698982	0.666110130404266
hippocampus	Oligodendrocyte	mean_marker_coverage	176	0.104943869689632	0.165701756251128	0.412632660361941
hippocampus	OPC	mean_marker_coverage	176	-0.114866828087167	0.129001452922569	0.366635708306248
hippocampus	Total_neuron	mean_marker_coverage	176	-0.3533017829628	1.51152462617106e-06	8.16223298132375e-05
caudate	Astrocyte	pmi	280	-0.0237698759807588	0.69208824225796	0.795165214509146
caudate	Microglia	pmi	280	0.0341316086513665	0.569531341182454	0.750114449362257
caudate	Vascular_exploratory	pmi	280	0.0559507320905082	0.350934869080516	0.62003028548667
caudate	Oligodendrocyte	pmi	280	-0.066979482166041	0.26398486030817	0.539512784619482
caudate	OPC	pmi	280	0.0553724982071562	0.355943312038644	0.62003028548667
caudate	Total_neuron	pmi	280	0.0825980774172678	0.16810960236968	0.412632660361941
dlpfc	Astrocyte	pmi	165	-0.0109786613466244	0.888695093298663	0.940971275257407
dlpfc	Microglia	pmi	165	-0.0411773276572164	0.599489999812837	0.770772856902219
dlpfc	Vascular_exploratory	pmi	165	-0.0506397100273966	0.518312812869919	0.736549786709885
dlpfc	Oligodendrocyte	pmi	165	-0.0115664699366116	0.882777297855407	0.940971275257407
dlpfc	OPC	pmi	165	0.0510164759683043	0.515201085917755	0.736549786709885
dlpfc	Total_neuron	pmi	165	0.0322239340888206	0.681157672385398	0.795165214509146
hippocampus	Astrocyte	pmi	176	-0.0559777959015261	0.460565150533842	0.710586232252213
hippocampus	Microglia	pmi	176	-0.0975387197812976	0.197798209508003	0.462023114940593
hippocampus	Vascular_exploratory	pmi	176	-0.117393428543334	0.120740581589126	0.362221744767378
hippocampus	Oligodendrocyte	pmi	176	0.0786912216705484	0.299210010479612	0.577047877353538
hippocampus	OPC	pmi	176	0.00438329269226746	0.953958228540935	0.953958228540935
hippocampus	Total_neuron	pmi	176	-0.0532632806380576	0.482628784467426	0.72394317670114
caudate	Astrocyte	ph	275	-0.015451014178869	0.798665787276979	0.880162296182793
caudate	Microglia	ph	275	0.100222396949388	0.0971946959943878	0.308736093158644
caudate	Vascular_exploratory	ph	275	0.0667808829752268	0.269756392309741	0.539512784619482
caudate	Oligodendrocyte	ph	275	-0.118513849306654	0.0496110624801095	0.26008545778251
caudate	OPC	ph	275	0.162594689287087	0.00689134274746994	0.0744265016726753
caudate	Total_neuron	ph	275	0.103274050156898	0.0873807724052318	0.294910106867657
dlpfc	Astrocyte	ph	165	-0.161732861677749	0.0379507573789546	0.256167612307943
dlpfc	Microglia	ph	165	0.138285978580328	0.0765055396807595	0.275419942850734
dlpfc	Vascular_exploratory	ph	165	-0.037647804260066	0.631164373247336	0.77833236399732
dlpfc	Oligodendrocyte	ph	165	0.0729804442327507	0.351560364940041	0.62003028548667
dlpfc	OPC	ph	165	0.0324630869914579	0.678921776077077	0.795165214509146
dlpfc	Total_neuron	ph	165	-0.115966619232791	0.137993961949342	0.372583697263223
hippocampus	Astrocyte	ph	176	0.0361125241416689	0.634196741034853	0.77833236399732
hippocampus	Microglia	ph	176	0.322498589035938	1.27038196694046e-05	0.000343003131073924
hippocampus	Vascular_exploratory	ph	176	0.0447292473708878	0.555547820496936	0.749989557670864
hippocampus	Oligodendrocyte	ph	176	-0.141831396443744	0.0604219286749769	0.271043526878699
hippocampus	OPC	ph	176	0.0647916384766292	0.392921348905279	0.648058293678888
hippocampus	Total_neuron	ph	176	0.0883093047761005	0.243822396187829	0.526656375765711
