"cell_type","n","mean","median","sd","min","max"
"Astro",281,0.173085434258578,0.164892853052037,0.0593557745000048,0.040382733063709,0.39203032675831
"D1-SPN",281,0.036840385756539,0.023506771807686,0.0361989355288073,0,0.155786172515898
"D2-SPN",281,0.0677644594705987,0.0659540298117707,0.0379236170064722,0,0.267130515609909
"Immune",281,0.00509095975732451,0.00369963530852952,0.00523390819900686,0,0.0389505129662302
"Inhib",281,4.69249561899654e-05,0,0.000371364115813048,0,0.00500320700902353
"Micro",281,0.0843091663889434,0.0814641251110917,0.03308125576767,0.000273232654060833,0.250091957856228
"OPC",281,0.0232036295837962,0.0202881179944276,0.0111364880418004,0.00275336812381361,0.0706964143173814
"Oligo",281,0.60965903982803,0.62226240652302,0.116701534341493,0.259998886102109,0.883308230735474
