sample_id	cell_type	proportion	region	method	reference	cell_type_raw
Br1003	Astrocyte	0.147012198202128	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1004	Astrocyte	0.163065040384579	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1007	Astrocyte	0.147517288920831	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1016	Astrocyte	0.170623389166088	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1017	Astrocyte	0.173442695593727	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1021	Astrocyte	0.181193174115604	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1023	Astrocyte	0.182106596820326	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1030	Astrocyte	0.13124006325242	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1034	Astrocyte	0.148470575788009	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1039	Astrocyte	0.200589858568993	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1053	Astrocyte	0.102107504676718	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1054	Astrocyte	0.17482399412561	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1056	Astrocyte	0.110674601826901	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1067	Astrocyte	0.165742024258481	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1069	Astrocyte	0.119213237036756	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1084	Astrocyte	0.170530801064508	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1092	Astrocyte	0.105628736401169	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1093	Astrocyte	0.118064053189985	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1099	Astrocyte	0.0929007361505374	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1102	Astrocyte	0.238584723373685	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1105	Astrocyte	0.226678623475119	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1111	Astrocyte	0.13800100141181	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1113	Astrocyte	0.114551874732569	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1122	Astrocyte	0.192721533105976	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1134	Astrocyte	0.142947175110415	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1135	Astrocyte	0.173665854597788	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
