region	platform	n	rho	p_value	neuron_fdr
dlpfc	850K	164	-0.034706786554759	0.65907032976272	0.65907032976272
hippocampus	850K	175	-0.10256381549485	0.176813035400262	0.265219553100393
dlpfc	coordinate_WGBS	164	-0.0200944050712119	0.79842078595217	0.79842078595217
hippocampus	coordinate_WGBS	175	-0.107068965517241	0.158452253299029	0.316904506598057
