sample_id	cell_type	proportion	region	method	reference	cell_type_raw
Br1003	Astrocyte	0.139926502443794	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1004	Astrocyte	0.174090600703706	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1007	Astrocyte	0.139585236563873	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1016	Astrocyte	0.166091224426533	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1017	Astrocyte	0.177104645481681	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1021	Astrocyte	0.208733786674799	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1023	Astrocyte	0.185153965800356	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1030	Astrocyte	0.119940652340794	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1034	Astrocyte	0.150201948675135	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1039	Astrocyte	0.19884575209865	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1053	Astrocyte	0.103205086396583	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1054	Astrocyte	0.192739028976544	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1056	Astrocyte	0.115947165117328	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1067	Astrocyte	0.165963382361407	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1069	Astrocyte	0.116013055857761	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1084	Astrocyte	0.181773167379317	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1092	Astrocyte	0.110314936077762	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1093	Astrocyte	0.114336422210897	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1099	Astrocyte	0.0883102905771955	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1102	Astrocyte	0.238832930297369	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1105	Astrocyte	0.211098957277683	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1111	Astrocyte	0.119464900270219	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1113	Astrocyte	0.115355454631858	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1122	Astrocyte	0.193119558928701	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1134	Astrocyte	0.145641002580528	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1135	Astrocyte	0.163806568252056	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1137	Astrocyte	0.162571189639416	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1142	Astrocyte	0.235554404762713	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1143	Astrocyte	0.203741630665922	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1157	Astrocyte	0.14647799397341	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1160	Astrocyte	0.136408299611606	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1167	Astrocyte	0.183557704080327	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1179	Astrocyte	0.152083187605198	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1185	Astrocyte	0.211628944317455	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1187	Astrocyte	0.185712287842824	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1193	Astrocyte	0.178343752360176	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1214	Astrocyte	0.179896260802929	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1227	Astrocyte	0.224300059761931	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1228	Astrocyte	0.16773671860977	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1235	Astrocyte	0.148814509339893	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1245	Astrocyte	0.186879727313395	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1249	Astrocyte	0.155584610936234	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1250	Astrocyte	0.169430024132387	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1263	Astrocyte	0.149599554462246	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1265	Astrocyte	0.159836019936071	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1276	Astrocyte	0.144474257927204	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1279	Astrocyte	0.178372221684	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1280	Astrocyte	0.174306838119489	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1281	Astrocyte	0.190261733892324	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1283	Astrocyte	0.154873243712589	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1297	Astrocyte	0.142621388970577	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1298	Astrocyte	0.145516332702185	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1303	Astrocyte	0.210747868362418	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1314	Astrocyte	0.167266293826895	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1320	Astrocyte	0.167298100871474	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1321	Astrocyte	0.130481825463453	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1324	Astrocyte	0.147128555701053	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1325	Astrocyte	0.183071690991518	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
Br1326	Astrocyte	0.134846840501659	hippocampus	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Astro
