"cell_type","n","mean","median","sd","min","max"
"Astro",165,0.322283406630286,0.316902759165836,0.0919258577675895,0.129552732862222,0.621077716135722
"Excit",165,0.138099261958923,0.139649131280105,0.0558217126873458,0,0.333629255467988
"Immune",165,0.0376757406784523,0.0269289842030828,0.0362267678417361,0,0.207598755340963
"Inhib",165,0.0356394727327195,0.0353580963775074,0.0183008277214452,0,0.0828853264686425
"Micro",165,0.029764712514529,0.0289451655398942,0.0198854360608334,0,0.0801890457235082
"Mural",165,0.0770787416913753,0.0725560342519682,0.0257410804481604,0.0308590769302994,0.185729688874801
"OPC",165,0.0274025402254418,0.0266587115792505,0.00710469894878544,0.00940320251080965,0.0482548435916442
"Oligo",165,0.332056123568273,0.312242865038599,0.13574491106461,0.0615194698060833,0.764102306756309
