"cell_type","n","mean","median","sd","min","max"
"Astro",175,0.486720006825319,0.485494386922862,0.107095371280206,0.158428637738352,0.787444694680007
"Excit",175,0.127409359620956,0.129922043428984,0.0631947415328696,0,0.333526343776062
"Immune",175,0.000625206445242947,0,0.00221674809746772,0,0.0236240660055901
"Inhib",175,0.0197067918244386,0.0162122870306454,0.0167402144511472,0,0.091534928153563
"Micro",175,0.0481457466087635,0.0457777402955794,0.0309204167409925,0,0.138456347072565
"Mural",175,0.0183631556953332,0.00747962287810767,0.0409091508497816,0,0.39939033535657
"OPC",175,0.000403478301424057,0,0.00198560436491828,0,0.0185931552189622
"Oligo",175,0.298626254678523,0.279042189077,0.122916622664706,0.0448989983653352,0.724496237400625
