region	reference_name	broad_class	n	rho	p_value	fdr
caudate	Lee	Astrocyte	279	0.459498944623103	5.58387045684787e-16	3.16419325888046e-15
caudate	Tian	Astrocyte	279	0.439127960304567	1.39904309843257e-14	5.94593316833843e-14
caudate	Lee	Microglia	279	0.264740465691963	7.38020622897203e-06	2.28115465259135e-05
caudate	Tian	Microglia	279	0.322421509796771	3.60582392244436e-08	1.36220014847898e-07
caudate	Lee	OPC	279	0.130114338556957	0.0297934483280763	0.0616893955422645
caudate	Tian	OPC	279	0.091200437622944	0.128592142788549	0.241438210673375
caudate	Lee	Oligodendrocyte	279	0.70043706969908	1.81791425884394e-42	6.18090848006939e-41
caudate	Tian	Oligodendrocyte	279	0.68751560963211	2.23279833547286e-40	3.79575717030387e-39
caudate	Lee	Total_neuron	279	0.671961785410382	5.290256887948e-38	4.4967183547558e-37
caudate	Tian	Total_neuron	279	0.682754809976903	1.23418112708607e-39	1.39873861069754e-38
dlpfc	Lee	Astrocyte	164	0.0601907145674915	0.44390486910972	0.580490982681941
dlpfc	Tian	Astrocyte	164	0.0420769115666617	0.59267554432374	0.730411171557156
dlpfc	Lee	Microglia	164	0.337136787360947	1.01305354230487e-05	2.87031836986381e-05
dlpfc	Tian	Microglia	164	0.35427269410014	3.25479186999599e-06	1.10662923579864e-05
dlpfc	Lee	OPC	164	-0.237884147610225	0.00216033276763713	0.00565010108458943
dlpfc	Tian	OPC	164	-0.104966539908979	0.181012463708257	0.293067798384797
dlpfc	Lee	Oligodendrocyte	164	0.0230489845333478	0.76955865766212	0.76955865766212
dlpfc	Tian	Oligodendrocyte	164	0.0233781780093317	0.766361596255073	0.76955865766212
dlpfc	Lee	Total_neuron	164	-0.0248391440969624	0.752221183014963	0.76955865766212
dlpfc	Tian	Total_neuron	164	-0.0287078475915824	0.715183777889432	0.76955865766212
dlpfc	Lee	Vascular_exploratory	164	0.0336348673023819	0.668969410386616	0.76955865766212
dlpfc	Tian	Vascular_exploratory	164	0.0410757281025125	0.601515082458834	0.730411171557156
hippocampus	Lee	Astrocyte	175	0.104554411106135	0.168515398198285	0.286476176937084
hippocampus	Tian	Astrocyte	175	0.096679355127631	0.203101156918848	0.313883606147311
hippocampus	Lee	Microglia	175	0.588537713177427	1.08089875419972e-17	7.35011152855809e-17
hippocampus	Tian	Microglia	175	0.552809592618531	2.15560501725299e-15	1.04700815123717e-14
hippocampus	Lee	OPC	175	-0.165537327831187	0.0285760228558818	0.0616893955422645
hippocampus	Tian	OPC	175	0.0309954921644135	0.683867553336358	0.76955865766212
hippocampus	Lee	Oligodendrocyte	175	0.0669435736677116	0.378739223935329	0.515085344552047
hippocampus	Tian	Oligodendrocyte	175	0.0820085087326467	0.280625893379905	0.401975584741871
hippocampus	Lee	Total_neuron	175	-0.11345723242275	0.134921353023357	0.241438210673375
hippocampus	Tian	Total_neuron	175	-0.0814800716524855	0.283747471582497	0.401975584741871
hippocampus	Lee	Vascular_exploratory	175	0.171075754513083	0.0235978109623698	0.0573089694800409
hippocampus	Tian	Vascular_exploratory	175	0.16328358392163	0.0308446977711323	0.0616893955422645
