sample_id	cell_type	proportion	region	method	reference	cell_type_raw
Br1003	Astrocyte	0.126113037941027	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1004	Astrocyte	0.123505635278755	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1007	Astrocyte	0.123675299319936	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1016	Astrocyte	0.117844497648893	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1017	Astrocyte	0.143840430216547	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1021	Astrocyte	0.11187556291813	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1023	Astrocyte	0.115017898715507	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1030	Astrocyte	0.12295561131201	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1034	Astrocyte	0.116772259291437	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1039	Astrocyte	0.139668270981565	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1053	Astrocyte	0.0878108611640176	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1054	Astrocyte	0.138953810651184	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1056	Astrocyte	0.122783844767579	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1067	Astrocyte	0.110950452239836	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1069	Astrocyte	0.103183905592273	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1084	Astrocyte	0.118376238534752	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1093	Astrocyte	0.130761886373599	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1099	Astrocyte	0.0952227317960243	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1102	Astrocyte	0.147656185961034	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1105	Astrocyte	0.139594312897955	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1111	Astrocyte	0.0905598991085961	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1122	Astrocyte	0.112790481588464	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1134	Astrocyte	0.104706382323118	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1135	Astrocyte	0.111332029124724	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1137	Astrocyte	0.13757502473697	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1142	Astrocyte	0.132954015541651	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1143	Astrocyte	0.124240261796288	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1160	Astrocyte	0.10100856545185	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1167	Astrocyte	0.137364849933625	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1179	Astrocyte	0.106957249040565	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1185	Astrocyte	0.100593105732625	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1187	Astrocyte	0.114493251218491	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1193	Astrocyte	0.123317046987191	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1214	Astrocyte	0.151673154108303	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1227	Astrocyte	0.131033762016309	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1228	Astrocyte	0.0910914072168152	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1235	Astrocyte	0.123853161232558	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1245	Astrocyte	0.120906575162438	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
