region	broad_class	n	rho	p_value	fdr	neuron_fdr
dlpfc	Astrocyte	164	0.0698543114823228	0.374102185223643	0.561153277835465	
dlpfc	Microglia	164	0.44309258612182	2.82506680928877e-09	1.69504008557326e-08	
dlpfc	OPC	164	-0.157329996055119	0.0442258495772117	0.176903398308847	
dlpfc	Oligodendrocyte	164	0.00757417055486785	0.923317113782185	0.923317113782185	
dlpfc	Total_neuron	164	-0.0200944050712119	0.79842078595217	0.871004493766003	0.79842078595217
dlpfc	Vascular_exploratory	164	0.0334063362942609	0.67108733987297	0.871004493766003	
hippocampus	Astrocyte	175	0.0890886699507389	0.241028770290046	0.482057540580092	
hippocampus	Microglia	175	0.598934157383679	2.04212212784269e-18	2.45054655341123e-17	
hippocampus	OPC	175	-0.0252892090881198	0.739737914218078	0.871004493766003	
hippocampus	Oligodendrocyte	175	0.0712897447380206	0.348496451167535	0.561153277835465	
hippocampus	Total_neuron	175	-0.107068965517241	0.158452253299029	0.380285407917668	0.316904506598057
hippocampus	Vascular_exploratory	175	0.130830219136339	0.0843935777195842	0.253180733158753	
