sample_id	cell_type	proportion	region	method	reference	cell_type_raw
Br1250	Astrocyte	0.131696415084228	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1263	Astrocyte	0.0718740018584675	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1265	Astrocyte	0.113076519532774	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1275	Astrocyte	0.0896883371526175	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1276	Astrocyte	0.0871250973527726	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1279	Astrocyte	0.129355866656423	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1280	Astrocyte	0.101218412706676	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1281	Astrocyte	0.106447895768229	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1283	Astrocyte	0.0800637042198947	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1285	Astrocyte	0.0900643402710905	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1288	Astrocyte	0.0901910734087315	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1297	Astrocyte	0.111606746263786	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1298	Astrocyte	0.0752468599621491	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1303	Astrocyte	0.10538552701807	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1314	Astrocyte	0.0805018388827405	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1320	Astrocyte	0.115003259790382	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1321	Astrocyte	0.0878771146931842	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1324	Astrocyte	0.0756879232668184	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1325	Astrocyte	0.140922825850703	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1326	Astrocyte	0.0976850815362295	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1339	Astrocyte	0.195542659558346	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1340	Astrocyte	0.101410360879063	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1346	Astrocyte	0.0805887212732006	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1348	Astrocyte	0.130396147479523	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1351	Astrocyte	0.121772162866908	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1356	Astrocyte	0.177755736786509	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1371	Astrocyte	0.175767693155703	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1378	Astrocyte	0.181026328508485	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1383	Astrocyte	0.128463713464786	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1384	Astrocyte	0.124265130059112	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1389	Astrocyte	0.114649513629241	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1390	Astrocyte	0.120449295102445	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1399	Astrocyte	0.174306505279541	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1408	Astrocyte	0.168672813381701	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1410	Astrocyte	0.192543399332127	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1416	Astrocyte	0.133001228653398	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1420	Astrocyte	0.139899151489439	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1424	Astrocyte	0.104517848565178	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1436	Astrocyte	0.154487434457124	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1441	Astrocyte	0.108146424497042	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1443	Astrocyte	0.159899379238619	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1446	Astrocyte	0.125778221159447	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1447	Astrocyte	0.110094149803021	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1448	Astrocyte	0.14482118168592	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1453	Astrocyte	0.13430709920505	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1455	Astrocyte	0.113364978914002	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1464	Astrocyte	0.0953733858193912	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1474	Astrocyte	0.0855387287879683	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1494	Astrocyte	0.132357332252091	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1497	Astrocyte	0.143212511868366	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1498	Astrocyte	0.177447936666713	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1499	Astrocyte	0.195481919915232	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1503	Astrocyte	0.200405404732851	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1504	Astrocyte	0.110361815271877	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1507	Astrocyte	0.078885625087531	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1509	Astrocyte	0.0983247405382287	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1517	Astrocyte	0.102535806922768	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1522	Astrocyte	0.0776074023796365	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1525	Astrocyte	0.099282811765315	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1527	Astrocyte	0.142103346833152	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1529	Astrocyte	0.150081387198343	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1531	Astrocyte	0.152928773237572	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1536	Astrocyte	0.0891258712469418	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1538	Astrocyte	0.10702300655208	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1539	Astrocyte	0.072315209682243	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1548	Astrocyte	0.0997596944707393	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1550	Astrocyte	0.212353130128646	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1552	Astrocyte	0.114906405648449	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1556	Astrocyte	0.0843247240271654	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1558	Astrocyte	0.0924673409826517	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br1565	Astrocyte	0.100951567030858	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
