region	broad_class	n	rho	p_value	fdr_all	neuron_fdr
caudate	Astrocyte	279	0.467547436705014	1.47233005066372e-16	6.25740271532079e-16	
caudate	Microglia	279	0.307004718805601	1.6781741754909e-07	5.70579219666907e-07	
caudate	OPC	279	0.114238628781824	0.056671196185765	0.107045592795334	
caudate	Oligodendrocyte	279	0.706642796361989	1.64348836957505e-43	1.39696511413879e-42	
caudate	Total_neuron	279	0.720214611720762	6.83714653736548e-46	1.16231491135213e-44	2.05114396120964e-45
dlpfc	Astrocyte	164	0.0607103505502428	0.439973611775899	0.575350107706945	
dlpfc	Microglia	164	0.364251631691472	1.62854680113104e-06	4.61421593653794e-06	
dlpfc	OPC	164	-0.212218391453528	0.00637042627706495	0.0154710352443006	
dlpfc	Oligodendrocyte	164	0.0230707493912641	0.769347161183858	0.774851551654547	
dlpfc	Total_neuron	164	-0.034706786554759	0.65907032976272	0.746946373731083	0.65907032976272
dlpfc	Vascular_exploratory	164	0.0225048630854407	0.774851551654547	0.774851551654547	
hippocampus	Astrocyte	175	0.098448275862069	0.19491826039679	0.301237311522311	
hippocampus	Microglia	175	0.588219751713441	1.13634691707621e-17	6.43929919676522e-17	
hippocampus	OPC	175	-0.0480689505051878	0.527582489583909	0.640635880209033	
hippocampus	Oligodendrocyte	175	0.0627810120913569	0.409157306427397	0.575350107706945	
hippocampus	Total_neuron	175	-0.10256381549485	0.176813035400262	0.300582160180445	0.265219553100393
hippocampus	Vascular_exploratory	175	0.172600333998679	0.0223659785562096	0.0475277044319454	
