"h2_category","spearman_rho","p_value","N"
"Low prediction",0.0203930691656937,0.935985276886839,500
"Heritable",-1,1,1000
"Low prediction",-0.184728002129281,0.0867342803723046,1000
"Non-heritable",-0.0512989176042577,0.934712848108234,1000
"Heritable",0.516219364126273,0.0338898197368908,5000
"Low prediction",0.308958932895812,6.73689203447171e-12,5000
"Non-heritable",-0.0666666666666667,0.745714857623485,5000
"Heritable",0.710703276005129,9.32019582650642e-08,10000
"Low prediction",0.503921506044378,3.91736636839304e-34,10000
"Non-heritable",0.30030959752322,0.225317751858876,10000
