"h2_category","spearman_rho","p_value","N"
"Heritable",0.570245781796985,0,100
"Low prediction",0.828571428571429,0.0583333333333333,100
"Non-heritable",0.0320586153879903,0.381509603337227,100
"Heritable",0.701618009888158,0,150
"Low prediction",0.821428571428571,0.0341269841269841,150
"Non-heritable",0.0217337880268589,0.554105651166056,150
"Heritable",0.73781111542946,0,200
"Low prediction",0.236326109391125,0.343622852543176,200
"Non-heritable",0.0719692064514883,0.0514671510892018,200
"Heritable",0.750743530700779,0,250
"Low prediction",0.626482213438735,0.00174463797055013,250
"Non-heritable",0.0359349651482439,0.330529610395507,250
"Heritable",0.584135447146307,0,500
"Low prediction",0.620338983050848,2.58075696230122e-07,500
"Non-heritable",-0.0755073930185912,0.0452243741802531,500
"Heritable",0.824539856272922,0,1000
"Low prediction",0.696183566116452,0,1000
"Non-heritable",-0.104762686631162,0.00842015726507763,1000
"Heritable",0.973847823010519,0,5000
"Low prediction",0.470331705390984,0,5000
"Non-heritable",0.0324930619796485,0.827976890731901,5000
