Br1615	4031091029_A
Br1657	4031091037_A
Br1571	4031091047_A
Br1644	4031091116_A
Br1228	4040296028_A
Br1069	4040296033_A
Br1556	4040296037_A
Br1193	4040296045_A
Br1111	4040296064_A
Br1611	4040296069_A
Br1227	4040296073_A
Br1185	4040296078_A
Br1160	4040296084_A
Br1137	4040296088_A
Br1539	4040296089_A
Br1105	4040296117_A
Br1157	4256126116_A
Br1263	4256126121_A
Br1281	4256126122_A
Br1297	4256126124_A
Br1410	4256126135_A
Br1039	4256126161_A
Br1249	4256126169_A
Br1348	4256126170_A
Br1494	4256126194_A
Br1135	4256126196_A
Br1187	4256126251_A
Br1250	4256126252_A
Br1390	4463344122_R01C02
Br1134	4463344334_R01C02
Br1325	4463344524_R01C01
Br1522	4463344553_R01C02
Br1004	4463344575_R01C01
Br1122	4463344575_R01C02
Br1473	4463344576_R01C01
Br1053	4572348233_R01C01
Br1054	4572348278_R01C02
Br1007	4572348382_R01C02
Br1314	4572348425_R01C01
Br1324	4572348425_R01C02
Br1573	4572348457_R01C02
Br1099	4572348520_R01C01
Br1003	4572348521_R01C02
Br1303	4572348557_R01C01
Br1283	4572348602_R01C01
Br1321	4572348602_R01C02
Br1898	4572348702_R01C02
Br1420	4572348703_R01C01
Br1552	4572348805_R01C02
Br1459	4572348823_R01C01
Br1276	4572348844_R01C02
Br1371	4572348845_R01C01
Br1585	4572348878_R01C02
Br1102	4572348891_R01C02
Br1665	4578942138_R01C01
Br1509	4578942138_R01C02
Br1056	4578951090_R01C01
Br1884	4578951090_R01C02
Br1605	4578951098_R01C01
Br1703	4578951098_R01C02
Br1883	4578951106_R01C01
Br1905	4578951108_R01C01
Br1722	4578951114_R01C02
Br1021	4578969017_R01C02
Br1030	4578969057_R01C01
Br1067	4578969057_R01C02
Br1576	4578969081_R01C01
Br1590	4578969081_R01C02
Br1740	4578969141_R01C02
Br1538	4578969153_R01C02
Br1579	4578977011_R01C01
Br1664	4578977011_R01C02
Br1167	4578977032_R01C02
Br1504	4578977042_R01C02
Br1663	4578977076_R01C01
Br1447	4578977078_R01C01
Br1503	4578977078_R01C02
Br1840	4578977093_R01C01
Br1298	4578977116_R01C01
Br1399	4578977116_R01C02
Br1320	4584656024_R01C01
Br1326	4584656024_R01C02
Br1974	4584656092_R01C02
Br1536	4584656126_R01C02
Br1235	4584664005_R01C02
Br1340	4584664028_R01C01
Br1179	4584664035_R01C02
Br1142	4584664141_R01C01
Br1143	4584664141_R01C02
Br1700	5421787069_R01C01
Br1721	5421787071_R01C02
Br1588	5421787073_R01C02
Br1527	5421787075_R01C02
Br2038	5421787084_R01C01
Br1084	5421787145_R01C01
Br1693	5421787153_R01C02
Br1455	5421787155_R01C01
Br1941	5421787191_R01C01
Br2020	5421787238_R01C02
Br1912	5421787249_R01C02
Br1265	5421787251_R01C01
Br2003	5511192105_R01C01
Br1688	5535522098_R01C02
Br2267	5535522105_R01C02
Br1017	5535522112_R01C02
Br1832	5535522113_R01C01
Br2074	5535522119_R01C02
Br2263	5535522135_R01C01
Br2076	5535549016_R01C01
Br2046	5535549018_R01C01
Br2064	5535549018_R01C02
Br1563	5535549075_R01C02
Br1280	6051001028_R01C01
Br1464	6051001030_R01C01
Br1733	9828658157_R01C01
Br1528	9853746111_R01C01
