"tissue","n","mean_h2","sd_h2","median_h2"
"caudate",7304,0.209160184002548,0.218984578947505,0.097654000463005
"dlpfc",4982,0.183110568164599,0.101625001584934,0.160089786922105
"hippocampus",5009,0.206468986253744,0.130544814039099,0.163576005153553
