"h2_category","n","mean_h2","median_h2"
"Heritable",8142,0.198730239666914,0.164059368743579
"Non-heritable",1081,0.0821419812130368,0.0864629612391528
"Low prediction",55,0.110092929030569,0.0912103152380813
