"tissue","n","mean_h2","sd_h2","median_h2"
"caudate",11446,0.175912282036073,0.18335461707192,0.106356856215974
"dlpfc",9569,0.174781730786675,0.0901423051974691,0.155848374231852
"hippocampus",9278,0.184620845457641,0.106939209862012,0.154723330735687
