"h2_category","n","mean_h2","median_h2"
"Heritable",8237,0.190656619802455,0.166743465070387
"Non-heritable",1299,0.0757445403216845,0.0818903401431669
"Low prediction",33,0.110777172939516,0.0944632481540994
