"h2_category","n","mean_h2","median_h2"
"Heritable",4770,0.201186958867766,0.139249026059448
"Non-heritable",4446,0.0721653325732432,0.0748569285669067
"Low prediction",71,0.0792971927609841,0.0646780661451264
