"h2_category","n","mean_h2","median_h2"
"Heritable",6172,0.267185565506399,0.159213123052038
"Non-heritable",5074,0.0689073574972306,0.0710275247963994
"Low prediction",200,0.0739336896922128,0.0537307122269786
