tissue	chr	total_cpg	top1_cpg	sd_cutoff
Hippocampus	1	1829021	18291	0.0947026470339863
Hippocampus	2	1649471	16495	0.0795297393843857
Hippocampus	3	1228530	12286	0.0802337576606878
Hippocampus	4	1037634	10377	0.0785709786289387
Hippocampus	5	1109123	11092	0.0793059818769543
Hippocampus	6	1121017	11211	0.0842940073952625
Hippocampus	7	1180373	11804	0.0802565947401386
Hippocampus	8	984908	9850	0.0795417443333694
Hippocampus	9	908787	9088	0.0826603212977737
Hippocampus	10	1059956	10600	0.0789083106810586
Hippocampus	11	1025429	10255	0.0784447514404761
Hippocampus	12	1003975	10040	0.0773602663936134
Hippocampus	13	583891	5839	0.0826724826926333
Hippocampus	14	667873	6679	0.0765185912638528
Hippocampus	15	665577	6656	0.0783521754518149
Hippocampus	16	886297	8863	0.080933680821009
Hippocampus	17	983205	9833	0.0829095414706534
Hippocampus	18	511757	5118	0.080244578790209
Hippocampus	19	923596	9236	0.0813572968937834
Hippocampus	20	619410	6195	0.0825168952725153
Hippocampus	21	284689	2847	0.0865111949362184
Hippocampus	22	492834	4929	0.081126258055343
Hippocampus	X	626099	6261	0.202664794612546
Hippocampus	Y	1200	12	0.180265098732688
