env	term	statistic	p_value	location_shift	ci_lo	ci_hi	median_neg_log10p_heritable	median_neg_log10p_nonheritable	n_heritable_features	n_nonheritable_features	fdr	cohort	tissue	population	modality	run_tag
smoking	env_valueTRUE	8031	0.150074801052672	-0.0464296011621508	-0.116576268536186	0.0174133051181827	0.268528508667248	0.336589794327236	193	93	0.225112201579009	BA_only	caudate	AA	psi	window_250kb
codeine	env_valueTRUE	8488	0.224975485678399	0.0314945700510292	-0.0190068961632613	0.0935596052575478	0.264646958390357	0.174058215879246	185	84	0.281409469580154	BA_only	caudate	AA	psi	window_250kb
morphine	env_valueTRUE	9504	0.00966609412205437	0.0714640269962422	0.0162797046266789	0.138300058062387	0.319452556766428	0.162618656791136	187	85	0.0289982823661631	BA_only	caudate	AA	psi	window_250kb
cocaine	env_valueTRUE	7953	0.0242140265185803	0.0592302232184241	0.00902484672017307	0.115876716373567	0.254209705967468	0.19694387493149	171	79	0.0484280530371605	BA_only	caudate	AA	psi	window_250kb
ethanol	env_valueTRUE	10786	0.00936863432566308	0.0774894195216936	0.0195284594494074	0.146407950822785	0.337109077082091	0.235523148683979	193	94	0.0289982823661631	BA_only	caudate	AA	psi	window_250kb
nicotine	env_valueTRUE	7298	0.00722699994081061	-0.090114746031207	-0.158895499489538	-0.0265252102577479	0.236859458289636	0.350025814120948	193	94	0.0289982823661631	BA_only	caudate	AA	psi	window_250kb
amphetamines	env_valueTRUE	9149	0.234507891316795	0.0312938452788422	-0.0213689412278159	0.0889765963477613	0.272219637884624	0.205225403325374	191	88	0.281409469580154	BA_only	caudate	AA	psi	window_250kb
any_trauma_hx	env_value	6990	0.0197287236554424	-0.0793346846977173	-0.149827534240417	-0.0124862776563607	0.284311292486429	0.363084930205339	190	89	0.0473489367730619	BA_only	caudate	AA	psi	window_250kb
education	env_valueless_than_hs	6867	0.00242115901968333	-0.119643207062972	-0.212654957685421	-0.0376795961058711	0.254777861517351	0.420645578361099	192	92	0.0289982823661631	BA_only	caudate	AA	psi	window_250kb
education	env_valuemore_than_hs	8813	0.977213554810077	-0.0009478352928196	-0.0727909043011173	0.0698168704576657	0.341193619874589	0.341942916961795	192	92	0.977213554810077	BA_only	caudate	AA	psi	window_250kb
marital_status	env_valuepreviously_married	9071	0.547672556054678	0.0181145789667849	-0.0439132661493864	0.0868067455710368	0.304849973782836	0.259994318409926	193	90	0.597460970241466	BA_only	caudate	AA	psi	window_250kb
marital_status	env_valuesingle	9749	0.0971752077370434	0.0554907649383782	-0.00930541910750908	0.127814697698058	0.310955389738856	0.222096217835019	193	90	0.16658607040636	BA_only	caudate	AA	psi	window_250kb
