Tissue	h2_Category	OR	PValue	FDR	Annotation
Caudate	Heritable	0.7095572241871726	2.868861221473747e-11	3.442633465768496e-11	hg38_genes_1to5kb
Caudate	Heritable	0.6184016099888102	1.4922167012111002e-22	2.558085773504743e-22	hg38_genes_introns
Caudate	Heritable	2.4614594967354124	2.287222837731322e-78	2.7446674052775867e-77	hg38_cpg_inter
Caudate	Heritable	2.1782590759075906	9.405262370159461e-44	3.7621049480637845e-43	hg38_genes_intergenic
Caudate	Heritable	0.6455836066880039	1.8004693235034243e-15	2.7007039852551365e-15	hg38_genes_promoters
Caudate	Heritable	0.4807120025404214	4.203188726728507e-49	2.521913236037104e-48	hg38_cpg_shores
Caudate	Heritable	0.5459820778364621	2.2114864948979336e-31	6.634459484693801e-31	hg38_genes_exons
Caudate	Heritable	0.5031274487354284	1.7394391874747994e-25	3.4788783749495988e-25	hg38_cpg_islands
Caudate	Heritable	0.7269360774753995	0.0004764796804386421	0.0004764796804386421	hg38_cpg_shelves
Caudate	Heritable	0.3626193317422434	1.5481455847252755e-25	3.4788783749495988e-25	hg38_genes_5UTRs
Caudate	Heritable	0.5956477732793523	2.458243066945015e-07	2.681719709394562e-07	hg38_genes_3UTRs
Caudate	Heritable	0.5573846914370797	7.252866919325096e-12	9.670489225766794e-12	hg38_enhancers_fantom
Caudate	Non-heritable	1.42228510526932	7.289230021402377e-12	9.765865533461314e-12	hg38_genes_1to5kb
Caudate	Non-heritable	1.6502406207664	3.033727477346651e-24	7.280945945631962e-24	hg38_genes_introns
Caudate	Non-heritable	0.42694837552322107	1.2518490842935867e-70	1.502218901152304e-69	hg38_cpg_inter
Caudate	Non-heritable	0.4539306846999155	1.0631327210805953e-44	6.378796326483572e-44	hg38_genes_intergenic
Caudate	Non-heritable	1.4335335123584105	4.6313385926265595e-11	5.557606311151871e-11	hg38_genes_promoters
Caudate	Non-heritable	1.985020625578779	1.27631745944105e-43	5.1052698377642e-43	hg38_cpg_shores
Caudate	Non-heritable	1.7051709758131777	5.238235013837511e-25	1.5714705041512533e-24	hg38_genes_exons
Caudate	Non-heritable	1.7592156886827865	3.319514984122069e-18	6.639029968244138e-18	hg38_cpg_islands
Caudate	Non-heritable	1.420537269497726	9.967665437559414e-05	9.967665437559414e-05	hg38_cpg_shelves
Caudate	Non-heritable	2.162944614796652	2.9710567001255364e-16	5.093240057358062e-16	hg38_genes_5UTRs
Caudate	Non-heritable	1.7717073666556553	1.172297601619227e-08	1.2788701108573385e-08	hg38_genes_3UTRs
Caudate	Non-heritable	1.7916308956363731	7.324399150095985e-12	9.765865533461314e-12	hg38_enhancers_fantom
Caudate	Low prediction	0.8343964334705075	0.4632206585835069	0.5558647903002083	hg38_genes_1to5kb
Caudate	Low prediction	0.7253459497894219	0.10744145507045874	0.16116218260568813	hg38_genes_introns
Caudate	Low prediction	0.480758134927115	0.0001986340429206518	0.00047672170300956435	hg38_cpg_inter
Caudate	Low prediction	1.124221433145119	0.5716726279729784	0.6236428668796128	hg38_genes_intergenic
Caudate	Low prediction	2.7996047821361527	2.541925884612103e-07	1.0167703538448411e-06	hg38_genes_promoters
Caudate	Low prediction	1.9211090551296737	0.0008317587745924554	0.0016635175491849109	hg38_cpg_shores
Caudate	Low prediction	2.665989994924962	4.86312417408231e-07	1.458937252224693e-06	hg38_genes_exons
Caudate	Low prediction	3.6231365533691116	8.486293106242926e-10	5.091775863745756e-09	hg38_cpg_islands
Caudate	Low prediction	0.4677980394223675	0.14375130191098157	0.19166840254797543	hg38_cpg_shelves
Caudate	Low prediction	5.380523413838627	1.1896632237588089e-11	1.4275958685105706e-10	hg38_genes_5UTRs
Caudate	Low prediction	0.13947433672204315	0.014434511719405876	0.024744877233267213	hg38_genes_3UTRs
Caudate	Low prediction	0.936570297029703	1.0	1.0	hg38_enhancers_fantom
DLPFC	Heritable	1.1311069660664324	0.16587526432904437	0.4976257929871331	hg38_genes_1to5kb
DLPFC	Heritable	0.9984687972936882	1.0	1.0	hg38_genes_introns
DLPFC	Heritable	0.9398073362492285	0.48150027054515143	0.8254290352202596	hg38_cpg_inter
DLPFC	Heritable	1.0441143030394906	0.6706799352816533	0.858512607341549	hg38_genes_promoters
DLPFC	Heritable	1.0949644850329783	0.32067021121889905	0.6815300786717521	hg38_cpg_shores
DLPFC	Heritable	0.8054469511476569	0.010939397799790838	0.13127277359749007	hg38_genes_exons
DLPFC	Heritable	1.0348768041075733	0.7869698900630866	0.858512607341549	hg38_genes_intergenic
DLPFC	Heritable	0.7782679111793036	0.03668231219707613	0.1467292487883045	hg38_cpg_islands
DLPFC	Heritable	1.055692041216706	0.7715937719637536	0.858512607341549	hg38_enhancers_fantom
