term	estimate	std.error	statistic	p.value	conf.low	conf.high	annotation	annot_col	tissue	n_vmrs	n_annotated	fdr
h2_scaled	0.829724705018166	0.0160924695916711	-11.5992957356475	4.15483255527169e-31	0.803618617555093	0.855964619062091	Promoter	hg38_genes_promoters	Caudate	11741	2994	2.49289953316302e-30
h2_scaled	0.73756056662883	0.0280148349378542	-10.8659240924661	1.67518548659992e-27	0.696929261063096	0.777951715145646	Enhancer	hg38_enhancers_fantom	Caudate	11741	1102	6.70074194639969e-27
h2_scaled	0.862297900072268	0.0138729032402856	-10.6794139427222	1.27071318034264e-26	0.838952411444395	0.885851209019918	1–5 kb upstream	hg38_genes_1to5kb	Caudate	11741	3771	3.81213954102791e-26
h2_scaled	1.22465437070017	0.0125406837298972	16.1600963857787	9.64108125120392e-59	1.19492220245724	1.2551407235931	Intergenic	hg38_genes_intergenic	Caudate	11741	2456	1.15692975014447e-57
h2_scaled	0.948248855785855	0.0214669677380504	-2.4753521652899	0.0133104854658672	0.908622451872697	0.98843308693711	Promoter	hg38_genes_promoters	DLPFC	9564	2192	0.0133104854658672
h2_scaled	0.796037715374059	0.0369898914915073	-6.16678513883684	6.96923521483495e-10	0.738469297713156	0.853851976765941	Enhancer	hg38_enhancers_fantom	DLPFC	9564	865	1.04538528222524e-09
h2_scaled	0.947378188753471	0.0190995879274237	-2.83026582447492	0.00465093441980731	0.912219565794092	0.983168814136114	1–5 kb upstream	hg38_genes_1to5kb	DLPFC	9564	2918	0.00507374663978979
h2_scaled	1.14589287388284	0.0185046592422093	7.35945114435369	1.84667927374628e-13	1.10485359358874	1.18800959420935	Intergenic	hg38_genes_intergenic	DLPFC	9564	2041	3.69335854749257e-13
h2_scaled	0.919769194164855	0.0207378554395059	-4.03284305676668	5.51060841785159e-05	0.882591195250423	0.957372578091089	Promoter	hg38_genes_promoters	Hippocampus	9838	2302	6.61273010142191e-05
h2_scaled	0.783982935976285	0.0359546819896927	-6.76874361660983	1.29905506661716e-11	0.728799746901116	0.839258229943096	Enhancer	hg38_enhancers_fantom	Hippocampus	9838	891	2.22695154277228e-11
h2_scaled	0.928920320134843	0.0182748462015726	-4.0346338641142	5.46875055254929e-05	0.895896287216634	0.962456752305467	1–5 kb upstream	hg38_genes_1to5kb	Hippocampus	9838	3029	6.61273010142191e-05
h2_scaled	1.18475608975689	0.0173217627493738	9.78750976012803	1.2739475888929e-22	1.14504700296338	1.22552645918944	Intergenic	hg38_genes_intergenic	Hippocampus	9838	2055	3.05747421334296e-22
